date,fleur mariage,animation mariage,agence de mariage,Traiteur Mariage,maquilleuse professionnelle,photo mariage,costume sur mesure
2018-01-07,0,0,0,0,0,24,0
2018-01-14,24,24,0,0,0,36,0
2018-01-21,24,0,0,0,0,24,0
2018-01-28,24,0,0,24,0,24,0
2018-02-04,24,24,0,24,0,24,0
2018-02-11,0,0,0,24,0,0,0
2018-02-18,0,24,0,24,0,49,0
2018-02-25,24,0,0,24,0,24,0
2018-03-04,25,0,0,25,0,0,0
2018-03-11,37,24,0,24,0,0,0
2018-03-18,24,0,0,0,0,37,0
2018-03-25,25,0,0,25,0,37,0
2018-04-01,24,0,0,24,0,0,0
2018-04-08,24,0,0,24,0,24,0
2018-04-15,0,25,0,0,0,0,0
2018-04-22,24,24,0,0,0,36,0
2018-04-29,25,0,0,25,0,50,0
2018-05-06,38,25,0,25,0,34,0
2018-05-13,25,0,0,25,0,75,0
2018-05-20,25,0,0,0,0,100,0
2018-05-27,0,0,0,0,0,49,0
2018-06-03,36,32,0,0,0,24,0
2018-06-10,23,0,0,0,0,47,0
2018-06-17,25,0,0,33,0,24,0
2018-06-24,50,0,0,0,0,25,0
2018-07-01,24,0,0,0,0,71,0
2018-07-08,24,25,0,25,0,24,0
2018-07-15,51,0,0,26,0,52,0
2018-07-22,0,0,0,25,0,38,0
2018-07-29,24,24,0,37,0,24,0
2018-08-05,24,0,0,24,0,24,0
2018-08-12,0,24,0,24,0,0,0
2018-08-19,24,24,0,49,0,24,0
2018-08-26,0,0,0,0,0,24,0
2018-09-02,0,0,0,25,0,25,0
2018-09-09,0,0,0,25,0,25,0
2018-09-16,0,24,0,0,0,24,0
2018-09-23,25,0,0,25,0,50,0
2018-09-30,25,0,0,0,0,0,0
2018-10-07,25,25,0,25,0,50,0
2018-10-14,0,0,0,25,0,38,0
2018-10-21,25,25,0,0,0,0,0
2018-10-28,0,0,0,0,0,24,0
2018-11-04,0,0,0,0,0,24,0
2018-11-11,0,0,0,25,0,50,0
2018-11-18,24,0,0,24,0,0,0
2018-11-25,0,0,0,24,0,24,0
2018-12-02,0,0,0,0,0,24,0
2018-12-09,0,25,0,50,0,25,0
2018-12-16,25,0,0,0,0,26,0
2018-12-23,0,0,0,0,0,26,0
2018-12-30,0,0,0,25,0,26,0
2019-01-06,25,24,0,25,0,0,0
2019-01-13,0,24,0,0,0,32,0
2019-01-20,23,0,0,0,0,24,0
2019-01-27,23,23,0,23,0,23,0
2019-02-03,0,0,0,0,0,24,0
2019-02-10,0,0,0,0,0,0,0
2019-02-17,0,0,0,25,0,0,0
2019-02-24,24,0,0,0,0,24,0
2019-03-03,24,0,0,0,0,24,0
2019-03-10,24,24,0,49,0,0,0
2019-03-17,25,0,0,25,0,25,0
2019-03-24,0,0,0,0,0,51,0
2019-03-31,25,0,0,0,0,25,0
2019-04-07,26,0,0,0,0,39,0
2019-04-14,0,0,0,38,0,34,0
2019-04-21,0,0,0,35,0,0,0
2019-04-28,0,0,0,0,0,46,0
2019-05-05,23,0,0,24,0,23,0
2019-05-12,25,24,0,25,0,25,0
2019-05-19,36,0,0,48,0,24,0
2019-05-26,23,23,0,23,0,23,0
2019-06-02,44,0,0,0,0,29,0
2019-06-09,22,0,0,23,0,34,0
2019-06-16,24,0,0,24,0,48,0
2019-06-23,24,24,0,24,0,47,0
2019-06-30,0,0,0,24,0,0,0
2019-07-07,0,23,0,23,0,35,0
2019-07-14,0,0,0,0,0,23,0
2019-07-21,0,24,0,0,0,24,0
2019-07-28,0,23,0,24,0,23,0
2019-08-04,0,0,0,23,0,23,0
2019-08-11,0,22,0,32,0,50,0
2019-08-18,35,0,0,23,0,35,0
2019-08-25,0,23,0,45,0,45,0
2019-09-01,0,0,0,22,0,34,0
2019-09-08,46,0,0,23,0,23,0
2019-09-15,0,0,0,0,0,23,0
2019-09-22,22,0,0,37,0,22,0
2019-09-29,0,0,0,22,0,44,0
2019-10-06,22,0,0,0,0,0,0
2019-10-13,0,22,0,0,0,34,0
2019-10-20,0,0,0,22,0,33,0
2019-10-27,21,0,0,21,0,41,0
2019-11-03,0,0,0,0,0,22,0
2019-11-10,0,0,0,21,0,21,0
2019-11-17,44,22,0,44,0,0,0
2019-11-24,0,0,0,21,0,21,0
2019-12-01,0,0,0,22,0,33,0
2019-12-08,0,0,0,0,0,0,0
2019-12-15,0,0,0,0,0,22,0
2019-12-22,0,0,0,23,0,0,0
2019-12-29,0,0,0,29,0,22,0
2020-01-05,21,21,0,21,0,32,0
2020-01-12,21,0,0,82,0,0,0
2020-01-19,0,22,0,22,0,22,0
2020-01-26,0,21,0,0,0,21,0
2020-02-02,21,0,0,21,0,21,0
2020-02-09,21,21,0,0,0,21,0
2020-02-16,21,0,0,42,0,21,0
2020-02-23,20,20,0,0,0,21,0
2020-03-01,20,0,0,30,0,40,0
2020-03-08,19,0,0,29,0,0,0
2020-03-15,0,0,0,18,0,18,0
2020-03-22,0,0,0,17,0,34,0
2020-03-29,0,17,0,17,0,17,0
2020-04-05,17,17,0,17,0,0,0
2020-04-12,18,18,0,18,0,0,0
2020-04-19,0,35,0,18,0,17,0
2020-04-26,16,0,0,0,0,24,0
2020-05-03,17,0,0,17,0,16,0
2020-05-10,0,0,0,18,0,18,0
