date,musica dj,bomboniere matrimonio,fiori matrimonio,Trucco sposa,film matrimonio,foto matrimonio,ristorante matrimonio,Wedding planner,abiti da cerimonia,Torta matrimonio,location matrimoni,gruppo musicale
2018-01-07,0.0,11.912136832239925,0.0,0.0,0.0,6.050609184629804,0.0,0.0,33,0,0,33
2018-01-14,0.0,0.0,0.0,0.0,0.0,0.0,6.050609184629804,5.861527647610123,65,0,0,49
2018-01-21,0.0,0.0,0.0,0.0,0.0,11.723055295220245,0.0,0.0,32,16,0,0
2018-01-28,5.861527647610123,5.861527647610123,0.0,0.0,0.0,0.0,0.0,5.861527647610123,0,16,16,16
2018-02-04,0.0,0.0,0.0,0.0,5.861527647610123,0.0,0.0,5.861527647610123,55,0,0,0
2018-02-11,0.0,5.861527647610123,5.861527647610123,0.0,0.0,11.723055295220245,0.0,0.0,64,0,0,32
2018-02-18,0.0,5.861527647610123,0.0,0.0,11.533973758200563,5.861527647610123,0.0,5.861527647610123,71,16,16,32
2018-02-25,0.0,0.0,0.0,5.672446110590441,5.672446110590441,0.0,0.0,0.0,39,15,16,39
2018-03-04,5.672446110590441,5.672446110590441,11.344892221180881,0.0,0.0,0.0,5.672446110590441,5.672446110590441,46,15,15,15
2018-03-11,0.0,0.0,5.672446110590441,0.0,5.672446110590441,5.861527647610123,5.861527647610123,5.861527647610123,55,0,0,31
2018-03-18,0.0,5.672446110590441,0.0,0.0,5.672446110590441,5.672446110590441,5.672446110590441,0.0,100,0,0,15
2018-03-25,6.050609184629804,0.0,0.0,0.0,17.96274601686973,6.050609184629804,0.0,6.050609184629804,49,16,0,16
2018-04-01,0.0,6.239690721649485,0.0,0.0,0.0,0.0,0.0,12.47938144329897,51,52,0,17
2018-04-08,0.0,5.672446110590441,0.0,0.0,0.0,0.0,0.0,17.017338331771324,47,0,0,23
2018-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.886832239925024,32,0,0,16
2018-04-22,0.0,0.0,0.0,6.239690721649485,6.239690721649485,6.050609184629804,6.050609184629804,6.050609184629804,67,17,0,33
2018-04-29,0.0,0.0,0.0,0.0,5.48336457357076,0.0,0.0,5.48336457357076,67,0,0,15
2018-05-06,5.672446110590441,0.0,0.0,11.344892221180881,5.672446110590441,5.672446110590441,0.0,5.672446110590441,46,0,0,31
2018-05-13,0.0,0.0,0.0,0.0,0.0,14.181115276476103,5.672446110590441,8.508669165885662,31,31,0,0
2018-05-20,0.0,0.0,0.0,5.672446110590441,5.672446110590441,17.017338331771324,0.0,0.0,54,15,0,31
2018-05-27,0.0,11.344892221180881,5.672446110590441,0.0,0.0,0.0,0.0,0.0,46,31,15,30
