geoName,geoCode,musica dj,bomboniere matrimonio,fiori matrimonio,Torta matrimonio,Trucco sposa
Abruzzo,IT-65,0,59,30,0,11
Aosta,IT-23,0,0,0,0,0
Apulia,IT-75,16,39,17,15,13
Basilicata,IT-77,0,0,0,0,0
Calabria,IT-78,0,53,15,21,11
Campania,IT-72,12,43,21,13,11
Emilia-Romagna,IT-45,21,32,12,16,19
Friuli-Venezia Giulia,IT-36,0,0,0,0,0
Lazio,IT-62,15,36,28,11,10
Liguria,IT-42,23,32,27,18,0
Lombardy,IT-25,15,30,25,14,16
Marche,IT-57,0,0,0,0,0
Molise,IT-67,0,0,0,0,0
Piedmont,IT-21,20,33,14,20,13
Sardinia,IT-88,23,24,27,6,20
Sicily,IT-82,9,45,26,12,8
Trentino-Alto Adige/South Tyrol,IT-32,0,0,0,0,0
Tuscany,IT-52,29,27,18,18,8
Umbria,IT-55,0,0,0,0,0
Veneto,IT-34,20,23,34,12,11
