geoName,geoCode,catering,Fotógrafo de bodas,publicidad,fotografia,Maquillaje para novias
Andalusia,ES-AN,22,0,43,35,0
Aragon,ES-AR,14,0,44,42,0
Asturias,ES-AS,15,0,42,43,0
Balearic Islands,ES-IB,18,0,43,39,0
Basque Country,ES-PV,17,0,46,37,0
Canary Islands,ES-CN,19,0,48,33,0
Cantabria,ES-CB,17,0,41,42,0
Castile and León,ES-CL,16,0,46,38,0
Castile-La Mancha,ES-CM,16,0,45,39,0
Catalonia,ES-CT,19,0,36,45,0
Ceuta,ES-CE,0,0,31,69,0
Community of Madrid,ES-MD,19,0,47,34,0
Extremadura,ES-EX,21,0,45,34,0
Galicia,ES-GA,12,0,47,41,0
La Rioja,ES-RI,13,0,43,44,0
Melilla,ES-ML,0,0,33,67,0
Navarre,ES-NC,13,0,45,42,0
Region of Murcia,ES-MC,14,0,51,35,0
Valencian Community,ES-VC,14,0,46,40,0
