date,musica dj,fiori matrimonio,Torta matrimonio,Trucco sposa,bomboniere matrimonio,film matrimonio,ristorante matrimonio,Wedding planner,abiti da cerimonia,foto matrimonio,location matrimoni,gruppo musicale
2018-01-07,0.0,0.0,0.0,0.0,19.503306727480044,9.591790193842645,0.0,0.0,31,0,0,31
2018-01-14,0.0,0.0,0.0,0.0,9.9115165336374,19.8230330672748,0.0,0.0,39,16,16,39
2018-01-21,0.0,0.0,0.0,0.0,20.142759407069555,0.0,10.231242873432155,20.142759407069555,24,0,16,24
2018-01-28,0.0,0.0,0.0,0.0,9.9115165336374,30.37400228050171,10.231242873432155,0.0,24,0,0,16
2018-02-04,0.0,0.0,0.0,0.0,9.9115165336374,0.0,0.0,9.9115165336374,48,31,0,16
2018-02-11,0.0,0.0,0.0,0.0,10.231242873432155,10.231242873432155,10.231242873432155,0.0,65,0,0,33
2018-02-18,0.0,18.389538967919073,0.0,9.194769483959536,0.0,0.0,0.0,9.591790193842645,30,0,0,15
2018-02-25,0.0,0.0,0.0,0.0,9.272063854047891,9.272063854047891,9.272063854047891,0.0,22,0,15,0
2018-03-04,0.0,9.807754116223506,0.0,0.0,0.0,10.231242873432155,10.231242873432155,0.0,49,16,0,0
2018-03-11,0.0,0.0,0.0,9.194769483959536,9.591790193842645,0.0,9.591790193842645,0.0,100,15,15,31
2018-03-18,0.0,0.0,0.0,9.194769483959536,0.0,0.0,9.591790193842645,0.0,46,0,0,0
2018-03-25,0.0,0.0,0.0,0.0,0.0,10.55096921322691,0.0,0.0,34,0,0,17
2018-04-01,0.0,0.0,0.0,0.0,10.231242873432155,10.55096921322691,0.0,0.0,83,67,0,0
2018-04-08,0.0,0.0,0.0,10.114246432355491,0.0,0.0,0.0,10.55096921322691,49,16,16,33
2018-04-15,0.0,0.0,0.0,10.420738748487475,10.870695553021665,0.0,0.0,10.870695553021665,59,0,0,17
2018-04-22,0.0,0.0,0.0,10.420738748487475,0.0,0.0,0.0,0.0,52,26,0,18
2018-04-29,0.0,0.0,0.0,0.0,9.9115165336374,0.0,0.0,0.0,55,31,16,24
2018-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,16,16,0
2018-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.55096921322691,51,34,25,17
2018-05-20,0.0,0.0,0.0,29.729754664802503,0.0,10.231242873432155,10.231242873432155,0.0,90,33,16,16
2018-05-27,0.0,0.0,0.0,0.0,0.0,0.0,10.231242873432155,0.0,49,16,33,41
2018-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,16,0,40
2018-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,15,0,30
2018-06-17,0.0,0.0,0.0,0.0,10.231242873432155,0.0,0.0,0.0,40,24,16,32
2018-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,16,0,0
2018-07-01,0.0,0.0,0.0,0.0,10.231242873432155,0.0,20.782212086659065,0.0,57,0,0,24
2018-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0,16
2018-07-15,0.0,0.0,0.0,0.0,0.0,10.55096921322691,0.0,0.0,66,0,0,33
2018-07-22,0.0,0.0,0.0,19.002523600183043,0.0,0.0,0.0,30.054275940706955,32,16,0,32
2018-07-29,0.0,0.0,0.0,9.807754116223506,0.0,0.0,10.231242873432155,0.0,40,24,0,32
2018-08-05,0.0,0.0,0.0,0.0,0.0,9.591790193842645,9.591790193842645,9.591790193842645,61,30,15,46
2018-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,14,0,28
2018-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,0,15
2018-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,31,46,0
2018-09-02,0.0,9.807754116223506,0.0,0.0,0.0,0.0,0.0,20.46248574686431,24,16,0,32
2018-09-09,0.0,0.0,0.0,0.0,10.870695553021665,0.0,0.0,10.870695553021665,68,17,0,25
2018-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,16,0,16
2018-09-23,0.0,0.0,0.0,10.114246432355491,0.0,0.0,0.0,10.55096921322691,50,0,17,0
2018-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.37400228050171,16,0,16,16
2018-10-07,0.0,0.0,0.0,0.0,10.870695553021665,0.0,10.870695553021665,0.0,17,0,17,17
2018-10-14,0.0,10.727231064619458,0.0,0.0,0.0,0.0,0.0,22.380843785632837,35,0,0,18
2018-10-21,0.0,10.420738748487475,0.0,20.84147749697495,0.0,0.0,0.0,10.870695553021665,17,17,0,26
2018-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,17,0,34
2018-11-04,0.0,10.114246432355491,0.0,0.0,0.0,0.0,10.55096921322691,0.0,34,25,0,34
2018-11-11,0.0,0.0,0.0,0.0,0.0,22.061117445838086,0.0,0.0,35,0,0,18
2018-11-18,0.0,0.0,0.0,0.0,10.870695553021665,0.0,0.0,0.0,43,0,0,17
2018-11-25,0.0,0.0,0.0,0.0,0.0,10.870695553021665,0.0,0.0,34,0,0,17
2018-12-02,0.0,0.0,0.0,0.0,0.0,11.510148232611174,0.0,0.0,18,18,0,27
2018-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0,17,35
2018-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.510148232611174,18,18,0,37
2018-12-23,0.0,0.0,0.0,11.953200329147398,0.0,12.46932725199544,12.46932725199544,0.0,20,20,0,40
2018-12-30,0.0,0.0,0.0,0.0,0.0,10.870695553021665,10.870695553021665,10.870695553021665,17,0,0,68
2019-01-06,0.0,10.114246432355491,0.0,0.0,10.55096921322691,0.0,21.10193842645382,0.0,42,33,17,17
2019-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.870695553021665,17,0,0,17
2019-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,16,0,16
2019-01-27,0.0,0.0,0.0,0.0,0.0,10.231242873432155,0.0,10.231242873432155,49,0,0,33
2019-02-03,0.0,0.0,0.0,0.0,20.782212086659065,0.0,0.0,0.0,57,32,16,16
2019-02-10,0.0,0.0,0.0,0.0,20.46248574686431,0.0,0.0,0.0,65,0,16,16
2019-02-17,0.0,10.114246432355491,0.0,0.0,21.10193842645382,0.0,0.0,10.55096921322691,42,33,0,17
2019-02-24,0.0,0.0,0.0,20.534985180842966,0.0,0.0,10.870695553021665,0.0,42,0,0,17
2019-03-03,0.0,0.0,0.0,10.727231064619458,11.190421892816419,0.0,0.0,11.190421892816419,26,0,0,35
2019-03-10,0.0,0.0,0.0,10.420738748487475,10.870695553021665,0.0,0.0,0.0,34,0,17,17
2019-03-17,0.0,0.0,0.0,0.0,11.190421892816419,0.0,11.190421892816419,11.190421892816419,89,18,0,0
2019-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,0,0,35
2019-03-31,0.0,10.727231064619458,0.0,0.0,11.190421892816419,0.0,0.0,11.190421892816419,62,0,0,0
