date,musica dj,fiori matrimonio,Torta matrimonio,Trucco sposa,film matrimonio,foto matrimonio,ristorante matrimonio,Wedding planner,abiti da cerimonia,location matrimoni,bomboniere matrimonio,gruppo musicale
2018-01-07,0.0,8.742977528089888,17.485955056179776,0.0,8.742977528089888,0.0,17.0696227929374,0.0,34,0,34,17
2018-01-14,0.0,8.326645264847512,0.0,0.0,0.0,0.0,8.326645264847512,24.979935794542534,50,0,22,22
2018-01-21,0.0,12.906300160513643,8.742977528089888,17.0696227929374,0.0,0.0,0.0,0.0,51,23,23,0
2018-01-28,0.0,8.326645264847512,0.0,8.742977528089888,0.0,12.906300160513643,0.0,8.326645264847512,56,11,28,0
2018-02-04,0.0,8.326645264847512,16.23695826645265,8.326645264847512,8.326645264847512,16.23695826645265,0.0,0.0,70,0,43,11
2018-02-11,0.0,24.56360353130016,0.0,8.326645264847512,0.0,24.56360353130016,0.0,8.326645264847512,76,0,22,0
2018-02-18,0.0,7.910313001605136,0.0,0.0,15.820626003210272,0.0,7.910313001605136,7.910313001605136,69,11,21,21
2018-02-25,0.0,16.23695826645265,0.0,7.910313001605136,7.910313001605136,0.0,7.910313001605136,16.23695826645265,43,11,21,0
2018-03-04,0.0,16.653290529695024,0.0,8.326645264847512,8.326645264847512,8.326645264847512,0.0,12.489967897271267,49,0,0,11
2018-03-11,0.0,0.0,8.742977528089888,17.0696227929374,17.0696227929374,8.326645264847512,0.0,17.0696227929374,62,11,11,22
2018-03-18,0.0,0.0,8.326645264847512,12.489967897271267,16.653290529695024,16.653290529695024,8.326645264847512,0.0,22,0,44,0
2018-03-25,0.0,17.90228731942215,9.159309791332262,8.742977528089888,8.742977528089888,8.742977528089888,8.742977528089888,0.0,47,0,12,12
2018-04-01,0.0,9.575642054574638,0.0,0.0,0.0,9.575642054574638,0.0,0.0,43,12,12,12
2018-04-08,0.0,0.0,17.485955056179776,17.485955056179776,8.742977528089888,8.742977528089888,0.0,8.742977528089888,63,11,23,23
2018-04-15,0.0,26.228932584269664,8.742977528089888,8.742977528089888,0.0,8.742977528089888,0.0,0.0,80,0,11,0
2018-04-22,0.0,8.742977528089888,0.0,8.742977528089888,8.742977528089888,0.0,8.742977528089888,13.32263242375602,100,0,12,12
2018-04-29,0.0,9.159309791332262,9.159309791332262,0.0,18.318619582664525,9.159309791332262,9.159309791332262,9.159309791332262,72,0,18,0
2018-05-06,0.0,17.485955056179776,8.742977528089888,17.485955056179776,8.742977528089888,8.742977528089888,8.326645264847512,8.742977528089888,45,0,17,0
2018-05-13,0.0,12.906300160513643,8.742977528089888,0.0,8.742977528089888,39.13523274478331,0.0,17.485955056179776,46,0,11,11
2018-05-20,0.0,8.742977528089888,17.485955056179776,8.742977528089888,8.742977528089888,26.228932584269664,17.485955056179776,8.742977528089888,80,11,11,23
2018-05-27,0.0,9.159309791332262,9.159309791332262,9.159309791332262,0.0,9.159309791332262,9.159309791332262,9.159309791332262,48,12,12,0
2018-06-03,0.0,8.742977528089888,26.64526484751204,8.742977528089888,8.742977528089888,9.159309791332262,0.0,8.742977528089888,53,12,12,18
2018-06-10,0.0,0.0,24.979935794542534,8.326645264847512,16.653290529695024,24.979935794542534,8.326645264847512,8.326645264847512,55,11,16,16
2018-06-17,0.0,8.326645264847512,8.326645264847512,12.489967897271267,8.326645264847512,0.0,0.0,8.326645264847512,27,11,11,16
2018-06-24,0.0,8.326645264847512,0.0,8.326645264847512,20.81661316211878,8.326645264847512,0.0,8.326645264847512,55,0,16,11
2018-07-01,0.0,8.742977528089888,8.742977528089888,8.742977528089888,0.0,0.0,0.0,8.742977528089888,41,12,12,12
2018-07-08,0.0,41.21689406099519,8.326645264847512,8.326645264847512,24.56360353130016,8.326645264847512,0.0,16.653290529695024,49,0,11,22
2018-07-15,0.0,0.0,8.742977528089888,0.0,8.326645264847512,21.232945425361155,0.0,0.0,67,0,0,11
2018-07-22,0.0,0.0,11.657303370786517,0.0,7.910313001605136,7.910313001605136,7.910313001605136,7.910313001605136,57,10,21,16
2018-07-29,0.0,11.657303370786517,7.493980738362761,7.493980738362761,0.0,7.493980738362761,15.404293739967898,15.404293739967898,65,0,15,20
2018-08-05,0.0,7.077648475120386,0.0,7.077648475120386,7.077648475120386,7.077648475120386,7.077648475120386,7.077648475120386,38,10,0,10
2018-08-12,0.0,0.0,0.0,9.159309791332262,0.0,12.073635634028893,5.828651685393258,6.2449839486356336,44,0,12,24
2018-08-19,0.0,6.2449839486356336,0.0,0.0,6.2449839486356336,0.0,5.828651685393258,5.828651685393258,32,8,16,24
2018-08-26,0.0,0.0,10.824638844301766,7.077648475120386,7.077648475120386,17.90228731942215,25.396268057784912,14.571629213483146,29,0,29,10
2018-09-02,0.0,8.742977528089888,25.396268057784912,0.0,8.326645264847512,21.232945425361155,16.653290529695024,0.0,50,11,22,22
2018-09-09,0.0,0.0,0.0,9.159309791332262,9.159309791332262,9.159309791332262,9.159309791332262,27.47792937399679,36,12,18,12
2018-09-16,0.0,9.159309791332262,9.159309791332262,9.159309791332262,9.159309791332262,9.159309791332262,0.0,27.061597110754413,36,0,36,0
2018-09-23,0.0,0.0,8.742977528089888,8.742977528089888,0.0,8.742977528089888,0.0,8.742977528089888,41,12,12,23
2018-09-30,0.0,0.0,0.0,0.0,8.742977528089888,8.742977528089888,0.0,0.0,0,11,0,0
2018-10-07,0.0,0.0,9.159309791332262,0.0,9.159309791332262,0.0,0.0,9.159309791332262,37,0,12,0
2018-10-14,0.0,17.90228731942215,17.90228731942215,9.159309791332262,17.90228731942215,13.32263242375602,8.742977528089888,26.64526484751204,24,0,24,24
