date,fleur mariage,animation mariage,agence de mariage,Traiteur Mariage,maquilleuse professionnelle,photo mariage,costume sur mesure
2018-01-07,13,18,0,22,0,30,0
2018-01-14,9,9,0,9,0,8,0
2018-01-21,9,13,0,9,0,8,9
2018-01-28,13,18,0,0,0,23,0
2018-02-04,17,0,0,26,0,25,0
2018-02-11,35,18,0,13,0,20,8
2018-02-18,18,9,0,18,0,30,9
2018-02-25,9,0,0,9,0,26,9
2018-03-04,9,14,0,9,0,21,0
2018-03-11,18,9,0,14,0,20,0
2018-03-18,18,18,0,9,0,31,0
2018-03-25,14,9,0,9,0,18,0
2018-04-01,0,23,0,18,0,18,9
2018-04-08,9,18,0,0,0,26,0
2018-04-15,9,9,0,9,0,18,9
2018-04-22,9,18,0,9,0,13,0
2018-04-29,14,10,0,10,0,32,9
2018-05-06,20,24,0,10,0,10,0
2018-05-13,0,9,0,19,0,33,0
2018-05-20,18,9,0,0,0,100,9
2018-05-27,9,0,0,9,0,29,9
2018-06-03,18,9,0,0,0,28,9
2018-06-10,9,17,0,13,0,16,0
2018-06-17,18,9,0,9,0,24,0
2018-06-24,14,9,0,0,0,26,0
2018-07-01,9,17,0,17,0,25,0
2018-07-08,9,18,0,14,0,21,0
2018-07-15,10,15,0,0,0,35,0
2018-07-22,39,0,0,10,0,19,9
2018-07-29,10,10,0,10,0,25,0
2018-08-05,10,0,0,10,0,22,0
2018-08-12,10,10,0,10,0,24,0
2018-08-19,14,19,0,10,0,19,0
2018-08-26,9,9,0,9,0,24,9
2018-09-02,14,0,0,19,0,34,0
2018-09-09,0,33,0,28,0,21,9
2018-09-16,9,27,0,23,0,18,0
2018-09-23,0,14,0,37,0,21,0
2018-09-30,9,0,0,18,0,18,0
2018-10-07,19,9,0,23,0,27,9
2018-10-14,0,0,0,0,0,18,0
2018-10-21,10,10,0,10,0,28,0
2018-10-28,0,18,0,9,0,18,0
2018-11-04,9,9,0,18,0,13,0
2018-11-11,17,9,0,26,0,21,0
2018-11-18,0,0,0,8,0,16,0
2018-11-25,0,8,0,0,0,13,8
2018-12-02,8,8,0,13,0,16,0
2018-12-09,0,0,0,9,0,22,8
2018-12-16,9,0,0,0,0,11,0
2018-12-23,0,10,0,10,0,16,9
2018-12-30,0,0,0,9,0,18,0
2019-01-06,13,8,0,8,0,12,0
2019-01-13,9,9,0,17,0,49,0
2019-01-20,8,8,0,0,0,12,8
2019-01-27,33,8,0,8,0,12,0
2019-02-03,8,8,0,13,0,22,8
2019-02-10,0,14,0,18,0,17,9
2019-02-17,9,14,0,9,0,35,9
2019-02-24,9,0,0,22,0,21,8
2019-03-03,17,8,0,0,0,13,0
2019-03-10,9,9,0,13,0,17,8
2019-03-17,13,13,0,9,0,13,0
2019-03-24,0,26,0,18,0,8,0
2019-03-31,13,9,0,0,0,12,0
2019-04-07,9,10,0,14,0,24,0
2019-04-14,10,9,0,9,0,15,0
2019-04-21,9,13,0,18,0,14,0
2019-04-28,26,9,0,9,0,17,0
2019-05-05,9,17,0,9,0,25,0
2019-05-12,18,18,0,18,0,23,9
2019-05-19,9,13,0,18,0,17,0
2019-05-26,9,0,0,9,0,29,0
2019-06-02,8,16,0,16,0,27,0
2019-06-09,13,13,0,17,0,36,8
2019-06-16,9,9,0,13,0,32,0
2019-06-23,9,9,0,9,0,42,9
2019-06-30,9,9,0,17,0,11,0
2019-07-07,0,9,0,35,0,8,0
2019-07-14,14,27,0,18,0,26,9
2019-07-21,9,18,0,0,0,20,0
2019-07-28,9,0,0,9,0,24,9
2019-08-04,9,9,0,0,0,21,0
2019-08-11,13,18,0,18,0,11,9
2019-08-18,18,9,0,28,0,27,0
2019-08-25,17,9,0,13,0,25,0
2019-09-01,9,9,0,8,0,33,8
2019-09-08,0,17,0,9,0,22,8
2019-09-15,8,17,0,13,0,19,8
2019-09-22,8,0,0,16,0,23,8
2019-09-29,8,8,0,8,0,13,8
2019-10-06,8,8,0,12,0,16,0
2019-10-13,0,0,0,16,0,13,0
2019-10-20,0,0,0,8,0,24,0
2019-10-27,8,8,0,16,0,23,0
2019-11-03,0,8,0,8,0,18,0
2019-11-10,0,0,0,20,0,18,15
2019-11-17,8,8,0,8,0,11,8
2019-11-24,7,0,0,8,0,10,0
2019-12-01,0,0,0,16,0,8,8
2019-12-08,15,0,0,0,0,7,8
2019-12-15,8,8,0,8,0,18,0
2019-12-22,9,9,0,9,0,13,8
2019-12-29,8,0,0,9,0,11,0
2020-01-05,8,8,0,8,0,11,0
2020-01-12,7,7,0,18,0,29,0
2020-01-19,12,8,0,8,0,20,8
2020-01-26,22,15,0,8,0,7,0
2020-02-02,15,15,0,7,0,12,0
2020-02-09,15,22,0,8,0,15,0
2020-02-16,8,0,0,15,0,20,0
2020-02-23,23,15,0,8,0,12,0
2020-03-01,14,14,0,11,0,25,7
2020-03-08,11,14,0,7,0,17,7
2020-03-15,6,0,0,0,0,9,0
2020-03-22,12,0,0,6,0,9,0
2020-03-29,6,9,0,6,0,8,0
2020-04-05,6,12,0,6,0,15,12
2020-04-12,13,6,0,6,0,15,0
2020-04-19,0,0,0,16,0,18,6
2020-04-26,0,0,0,12,0,7,6
2020-05-03,6,0,0,0,0,17,6
2020-05-10,7,0,0,20,0,6,0
