date,musica dj,fiori matrimonio,Torta matrimonio,Trucco sposa,bomboniere matrimonio,film matrimonio,ristorante matrimonio,Wedding planner,abiti da cerimonia,foto matrimonio,location matrimoni,gruppo musicale
2018-01-07,13.6,13.6,21.25,0.0,21,7,18,14,28,14,21,14
2018-01-14,0.0,27.2,0.0,13.6,17,7,14,21,41,7,14,41
2018-01-21,12.75,25.5,12.75,12.75,23,13,6,10,26,26,0,13
2018-01-28,12.75,33.15,13.6,27.2,13,7,17,7,40,20,13,33
2018-02-04,0.0,12.75,0.0,26.349999999999998,10,7,13,7,39,20,0,32
2018-02-11,27.2,13.6,13.6,27.2,17,10,14,14,34,14,7,28
2018-02-18,13.6,20.4,0.0,27.2,7,7,10,10,47,20,0,20
2018-02-25,39.949999999999996,13.6,13.6,13.6,10,10,7,10,73,13,20,13
2018-03-04,0.0,13.6,13.6,39.949999999999996,17,7,7,7,41,7,7,27
2018-03-11,0.0,13.6,0.0,40.8,10,0,7,7,63,0,0,14
2018-03-18,28.05,0.0,0.0,21.25,7,7,0,7,63,0,14,21
2018-03-25,14.45,14.45,0.0,0.0,7,11,11,7,65,7,0,7
2018-04-01,45.05,0.0,0.0,37.4,8,8,0,11,98,0,7,7
2018-04-08,28.05,27.2,40.8,0.0,28,7,17,7,68,14,7,20
2018-04-15,14.45,14.45,0.0,22.099999999999998,15,7,7,7,73,0,22,58
2018-04-22,0.0,22.099999999999998,0.0,14.45,22,11,0,7,51,7,7,15
2018-04-29,14.45,28.05,0.0,0.0,11,18,7,7,71,7,0,7
2018-05-06,0.0,0.0,0.0,13.6,0,7,7,14,42,0,7,14
2018-05-13,14.45,21.25,14.45,14.45,11,14,7,7,85,71,21,28
2018-05-20,0.0,28.05,28.05,28.05,43,14,14,7,85,100,7,21
2018-05-27,14.45,14.45,14.45,14.45,21,7,7,7,64,14,7,28
2018-06-03,14.45,14.45,14.45,14.45,18,7,11,21,86,22,7,43
2018-06-10,13.6,27.2,41.65,13.6,17,14,7,0,96,21,14,27
2018-06-17,0.0,44.199999999999996,14.45,29.75,0,15,26,15,67,7,7,22
2018-06-24,0.0,15.299999999999999,15.299999999999999,0.0,12,8,24,20,31,8,8,16
2018-07-01,15.299999999999999,0.0,15.299999999999999,15.299999999999999,19,15,15,8,15,0,0,31
2018-07-08,0.0,38.25,0.0,0.0,11,15,8,0,46,15,0,31
2018-07-15,0.0,31.45,31.45,23.8,8,8,8,8,55,16,0,24
2018-07-22,0.0,16.15,16.15,0.0,8,8,12,20,40,16,16,57
2018-07-29,0.0,25.5,17.0,0.0,17,17,0,13,26,17,0,26
2018-08-05,17.849999999999998,0.0,18.7,0.0,9,0,0,28,18,18,0,0
2018-08-12,20.4,0.0,0.0,20.4,10,11,11,11,21,11,0,42
2018-08-19,0.0,18.7,0.0,0.0,14,10,14,10,48,19,10,19
2018-08-26,0.0,16.15,0.0,16.15,16,21,33,8,16,41,8,33
2018-09-02,0.0,22.95,45.9,15.299999999999999,15,12,27,8,38,61,15,8
2018-09-09,15.299999999999999,0.0,0.0,0.0,15,0,8,23,8,0,15,15
2018-09-16,0.0,14.45,14.45,0.0,7,7,15,30,22,30,7,59
2018-09-23,0.0,22.95,15.299999999999999,60.35,15,15,23,8,23,8,23,23
2018-09-30,0.0,15.299999999999999,0.0,29.75,7,7,0,23,45,22,22,7
2018-10-07,0.0,15.299999999999999,0.0,0.0,15,8,15,38,38,23,0,38
2018-10-14,15.299999999999999,15.299999999999999,15.299999999999999,15.299999999999999,12,8,8,19,0,0,23,8
2018-10-21,0.0,14.45,14.45,29.75,7,7,19,0,7,0,15,15
2018-10-28,0.0,14.45,0.0,44.199999999999996,7,30,15,7,15,0,7,15
2018-11-04,0.0,13.6,13.6,0.0,11,7,7,25,0,0,0,42
2018-11-11,28.9,14.45,14.45,42.5,7,11,14,7,14,0,21,36
2018-11-18,27.2,27.2,0.0,13.6,7,14,14,7,21,14,7,21
2018-11-25,0.0,13.6,0.0,28.05,7,14,7,7,7,14,0,14
2018-12-02,14.45,0.0,0.0,0.0,14,7,0,7,14,14,7,64
2018-12-09,0.0,14.45,0.0,0.0,21,7,0,7,0,0,7,21
2018-12-16,29.75,0.0,0.0,0.0,8,15,8,0,0,0,0,23
2018-12-23,17.0,17.0,0.0,0.0,17,8,0,17,26,0,0,35
2018-12-30,30.599999999999998,15.299999999999999,0.0,0.0,20,8,8,0,23,8,8,31
2019-01-06,13.6,27.2,13.6,13.6,7,10,14,7,35,0,7,21
2019-01-13,13.6,13.6,13.6,13.6,21,7,10,21,34,7,7,21
2019-01-20,26.349999999999998,25.5,0.0,32.3,20,7,7,20,46,7,20,26
2019-01-27,12.75,12.75,0.0,12.75,6,6,6,6,38,6,0,19
2019-02-03,12.75,38.25,0.0,12.75,26,13,6,13,19,13,6,26
2019-02-10,0.0,12.75,0.0,12.75,16,7,23,7,65,0,13,13
2019-02-17,13.6,26.349999999999998,26.349999999999998,13.6,10,7,20,7,47,0,0,20
2019-02-24,0.0,13.6,13.6,13.6,14,10,0,0,34,7,0,27
2019-03-03,13.6,20.4,27.2,13.6,10,21,14,14,35,7,7,21
2019-03-10,13.6,0.0,13.6,20.4,14,7,0,0,55,0,0,27
2019-03-17,13.6,13.6,0.0,20.4,10,7,7,7,69,0,0,28
2019-03-24,0.0,13.6,20.4,13.6,7,7,0,10,61,14,7,27
2019-03-31,26.349999999999998,39.1,0.0,12.75,13,13,7,10,53,13,13,0
2019-04-07,0.0,13.6,0.0,19.55,13,0,7,7,53,0,7,33
2019-04-14,27.2,0.0,13.6,0.0,7,0,10,21,82,0,14,14
2019-04-21,0.0,0.0,29.75,15.299999999999999,19,15,8,23,60,0,0,30
2019-04-28,13.6,28.05,13.6,13.6,7,7,14,7,56,7,7,14
2019-05-05,13.6,0.0,13.6,13.6,10,7,7,7,68,7,7,7
2019-05-12,0.0,20.4,0.0,13.6,10,7,14,7,54,0,13,27
2019-05-19,0.0,12.75,12.75,39.1,13,7,7,17,53,33,13,20
2019-05-26,12.75,12.75,0.0,19.55,6,13,19,13,19,6,13,19
2019-06-02,13.6,13.6,0.0,13.6,10,7,20,10,20,7,7,33
2019-06-09,12.75,19.55,0.0,12.75,13,13,13,13,32,7,6,39
2019-06-16,0.0,27.2,13.6,13.6,7,7,27,10,27,7,0,34
2019-06-23,13.6,13.6,13.6,28.05,0,0,0,7,49,14,21,7
2019-06-30,0.0,13.6,0.0,13.6,10,7,21,17,48,21,0,34
2019-07-07,0.0,27.2,0.0,13.6,21,7,7,34,28,7,21,21
2019-07-14,0.0,13.6,13.6,13.6,11,0,14,7,28,14,14,21
2019-07-21,0.0,14.45,14.45,22.099999999999998,7,7,18,7,58,7,0,29
2019-07-28,15.299999999999999,22.95,15.299999999999999,15.299999999999999,8,8,0,8,53,15,23,23
2019-08-04,16.15,0.0,16.15,0.0,40,16,0,16,40,16,0,16
2019-08-11,17.849999999999998,34.85,0.0,17.849999999999998,9,9,18,9,18,9,18,63
2019-08-18,0.0,16.15,47.6,16.15,8,16,8,12,40,0,8,32
2019-08-25,0.0,34.85,13.6,13.6,7,0,11,7,42,7,14,35
2019-09-01,0.0,12.75,12.75,12.75,10,10,19,13,32,13,6,38
2019-09-08,13.6,0.0,0.0,0.0,10,7,17,10,20,13,0,46
2019-09-15,12.75,31.45,50.15,12.75,16,13,19,10,44,13,13,6
2019-09-22,12.75,26.349999999999998,0.0,12.75,39,0,16,26,26,33,40,20
2019-09-29,0.0,26.349999999999998,12.75,19.55,26,7,16,10,33,7,13,13
2019-10-06,12.75,0.0,12.75,26.349999999999998,13,7,20,7,20,13,0,20
2019-10-13,12.75,12.75,12.75,25.5,13,13,10,13,26,0,6,26
2019-10-20,11.9,11.9,24.65,11.9,12,9,12,9,12,0,12,37
2019-10-27,12.75,12.75,12.75,24.65,6,0,6,12,25,19,6,19
2019-11-03,0.0,11.9,11.9,11.9,12,6,6,6,37,25,0,19
2019-11-10,11.9,11.9,18.7,0.0,9,12,9,9,6,6,18,18
2019-11-17,11.9,23.8,0.0,0.0,9,9,6,0,12,0,0,18
2019-11-24,0.0,0.0,0.0,0.0,9,12,6,0,24,12,6,6
2019-12-01,12.75,24.65,24.65,0.0,6,0,0,6,19,19,6,13
2019-12-08,12.75,12.75,12.75,12.75,6,10,6,10,6,0,0,19
2019-12-15,0.0,12.75,0.0,0.0,0,6,6,6,0,0,6,25
2019-12-22,0.0,42.5,14.45,0.0,7,11,11,7,14,7,7,57
2019-12-29,13.6,13.6,0.0,0.0,10,14,7,21,21,0,14,21
2020-01-05,11.9,11.9,11.9,11.9,12,6,6,6,24,12,24,42
2020-01-12,22.099999999999998,22.099999999999998,11.049999999999999,11.049999999999999,17,11,11,6,17,11,6,11
2020-01-19,11.9,22.95,0.0,11.9,17,6,9,17,41,17,6,23
2020-01-26,11.049999999999999,11.049999999999999,11.049999999999999,11.049999999999999,14,9,11,6,45,17,23,23
2020-02-02,11.049999999999999,33.15,11.049999999999999,11.049999999999999,11,11,6,11,50,0,17,50
2020-02-09,11.9,11.9,11.9,11.9,15,18,12,0,64,18,0,23
2020-02-16,0.0,11.9,11.049999999999999,11.9,9,12,6,12,34,17,6,34
2020-02-23,0.0,0.0,0.0,27.2,14,8,5,14,38,0,5,32
2020-03-01,0.0,11.049999999999999,11.049999999999999,0.0,11,5,5,11,16,16,5,26
2020-03-08,0.0,0.0,10.2,10.2,5,15,0,5,10,5,5,10
2020-03-15,10.2,0.0,0.0,0.0,5,13,5,10,10,5,0,31
2020-03-22,14.45,0.0,9.35,0.0,5,15,0,5,10,0,0,10
2020-03-29,0.0,10.2,0.0,0.0,5,18,0,0,5,15,20,35
2020-04-05,0.0,0.0,10.2,0.0,5,13,5,8,0,11,0,11
2020-04-12,11.049999999999999,11.049999999999999,11.049999999999999,0.0,5,16,11,11,0,11,11,32
2020-04-19,0.0,10.2,0.0,0.0,10,5,10,10,0,0,5,25
2020-04-26,0.0,19.55,10.2,10.2,10,10,5,5,5,0,0,40
2020-05-03,10.2,0.0,11.049999999999999,0.0,5,13,5,5,5,11,5,21
2020-05-10,0.0,11.9,0.0,11.9,9,9,12,20,6,6,12,12
