date,fleur mariage,animation mariage,agence de mariage,Traiteur Mariage,maquilleuse professionnelle,photo mariage,costume sur mesure
2018-01-07,24,0,0,0,0,50,0
2018-01-14,0,0,0,24,0,25,0
2018-01-21,0,0,0,24,0,25,0
2018-01-28,25,25,0,25,0,38,0
2018-02-04,49,0,0,0,0,26,0
2018-02-11,0,0,0,0,0,0,0
2018-02-18,0,25,0,25,0,26,0
2018-02-25,0,36,0,24,0,25,0
2018-03-04,25,0,0,0,0,26,0
2018-03-11,0,25,0,0,0,25,0
2018-03-18,0,26,0,0,0,79,0
2018-03-25,25,0,0,0,0,0,0
2018-04-01,25,0,0,25,0,0,0
2018-04-08,0,0,0,0,0,0,0
2018-04-15,0,0,0,0,0,29,0
2018-04-22,25,0,0,0,0,26,0
2018-04-29,0,0,0,0,0,0,0
2018-05-06,38,0,0,0,0,36,0
2018-05-13,0,0,0,25,0,79,0
2018-05-20,52,0,0,26,0,64,0
2018-05-27,25,0,0,0,0,53,0
2018-06-03,50,0,0,0,0,26,0
2018-06-10,24,0,0,24,0,25,0
2018-06-17,0,0,0,0,0,27,0
2018-06-24,0,26,0,0,0,53,0
2018-07-01,0,0,0,0,0,0,0
2018-07-08,0,0,0,25,0,79,0
2018-07-15,27,0,0,0,0,56,0
2018-07-22,0,0,0,26,0,41,0
2018-07-29,27,0,0,0,0,41,0
2018-08-05,54,0,0,0,0,37,0
2018-08-12,0,0,0,56,0,29,0
2018-08-19,0,0,0,27,0,47,0
2018-08-26,0,26,0,0,0,69,0
2018-09-02,0,27,0,0,0,56,0
2018-09-09,26,0,0,26,0,55,0
2018-09-16,0,0,0,0,0,27,0
2018-09-23,27,0,0,26,0,41,0
2018-09-30,26,0,0,0,0,0,0
2018-10-07,0,0,0,26,0,41,0
2018-10-14,0,0,0,0,0,56,0
2018-10-21,27,0,0,27,0,0,0
2018-10-28,0,0,0,37,0,39,0
2018-11-04,0,0,0,0,0,26,0
2018-11-11,0,0,0,0,0,27,0
2018-11-18,0,25,0,0,0,26,0
2018-11-25,0,0,0,0,0,35,0
2018-12-02,0,0,0,0,0,39,0
2018-12-09,0,25,0,25,0,26,0
2018-12-16,0,0,0,0,0,27,0
2018-12-23,0,0,0,0,0,28,0
2018-12-30,0,0,0,26,0,41,0
2019-01-06,0,0,0,0,0,0,0
2019-01-13,25,0,0,0,0,43,0
2019-01-20,0,47,0,0,0,25,0
2019-01-27,24,24,0,24,0,25,0
2019-02-03,0,0,0,24,0,51,0
2019-02-10,0,0,0,0,0,52,0
2019-02-17,26,53,0,0,0,41,0
2019-02-24,0,25,0,0,0,26,0
2019-03-03,0,0,0,24,0,0,0
2019-03-10,0,0,0,25,0,26,0
2019-03-17,0,26,0,0,0,27,0
2019-03-24,25,0,0,0,0,27,0
2019-03-31,0,25,0,25,0,40,0
2019-04-07,25,0,0,0,0,52,0
2019-04-14,0,0,0,26,0,0,0
2019-04-21,50,25,0,0,0,35,0
2019-04-28,0,0,0,0,0,100,0
2019-05-05,0,24,0,24,0,33,0
2019-05-12,25,0,0,0,0,44,0
2019-05-19,50,25,0,25,0,52,0
2019-05-26,0,0,0,25,0,39,0
2019-06-02,23,0,0,0,0,41,0
2019-06-09,0,0,0,46,0,57,0
2019-06-16,25,0,0,25,0,78,0
2019-06-23,0,0,0,0,0,26,0
2019-06-30,0,24,0,24,0,75,0
2019-07-07,25,0,0,25,0,43,0
2019-07-14,0,0,0,26,0,27,0
2019-07-21,25,25,0,0,0,0,0
2019-07-28,0,26,0,26,0,40,0
2019-08-04,26,0,0,0,0,27,0
2019-08-11,0,0,0,0,0,27,0
2019-08-18,26,26,0,0,0,27,0
2019-08-25,49,0,0,0,0,26,0
2019-09-01,24,49,0,24,0,50,0
2019-09-08,24,0,0,24,0,38,0
2019-09-15,0,0,0,0,0,25,0
2019-09-22,23,0,0,23,0,0,0
2019-09-29,24,0,0,23,0,0,0
2019-10-06,0,0,0,0,0,49,0
2019-10-13,23,0,0,0,0,24,0
2019-10-20,23,0,0,23,0,24,0
2019-10-27,0,0,0,22,0,92,0
2019-11-03,0,22,0,22,0,23,0
2019-11-10,0,0,0,0,0,23,0
2019-11-17,0,0,0,22,0,24,0
2019-11-24,22,0,0,0,0,22,0
2019-12-01,0,0,0,0,0,0,0
2019-12-08,0,0,0,0,0,0,0
2019-12-15,0,0,0,0,0,23,0
2019-12-22,0,0,0,0,0,24,0
2019-12-29,23,0,0,0,0,36,0
2020-01-05,22,44,0,0,0,23,0
2020-01-12,0,0,0,21,0,30,0
2020-01-19,0,0,0,0,0,23,0
2020-01-26,0,0,0,0,0,22,0
2020-02-02,22,0,0,0,0,0,0
2020-02-09,21,0,0,0,0,0,0
2020-02-16,43,0,0,21,0,22,0
2020-02-23,0,0,0,0,0,22,0
2020-03-01,21,0,0,0,0,22,0
2020-03-08,0,0,0,21,0,22,0
2020-03-15,0,0,0,19,0,39,0
2020-03-22,18,0,0,0,0,0,0
2020-03-29,18,0,0,0,0,19,0
2020-04-05,0,0,0,0,0,19,0
2020-04-12,0,0,0,0,0,19,0
2020-04-19,0,0,0,0,0,39,0
2020-04-26,0,0,0,17,0,0,0
2020-05-03,17,0,0,17,0,36,0
2020-05-10,0,0,0,0,0,19,0
