geoName,geoCode,Hochzeitskuchen
Baden-Württemberg,DE-BW,17
Bavaria,DE-BY,21
Berlin,DE-BE,20
Brandenburg,DE-BB,100
Bremen,DE-HB,0
Hamburg,DE-HH,47
Hesse,DE-HE,51
Lower Saxony,DE-NI,23
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,22
Rhineland-Palatinate,DE-RP,27
Saarland,DE-SL,0
Saxony,DE-SN,27
Saxony-Anhalt,DE-ST,61
Schleswig-Holstein,DE-SH,0
Thuringia,DE-TH,0
