geoName,geoCode,Hochzeitsanzug
Baden-Württemberg,DE-BW,66
Bavaria,DE-BY,63
Berlin,DE-BE,64
Brandenburg,DE-BB,72
Bremen,DE-HB,48
Hamburg,DE-HH,74
Hesse,DE-HE,60
Lower Saxony,DE-NI,51
Mecklenburg-Vorpommern,DE-MV,86
North Rhine-Westphalia,DE-NW,74
Rhineland-Palatinate,DE-RP,74
Saarland,DE-SL,37
Saxony,DE-SN,100
Saxony-Anhalt,DE-ST,83
Schleswig-Holstein,DE-SH,50
Thuringia,DE-TH,62
