geoName,geoCode,Baugerüst
Baden-Württemberg,DE-BW,30
Bavaria,DE-BY,20
Berlin,DE-BE,51
Brandenburg,DE-BB,64
Bremen,DE-HB,56
Hamburg,DE-HH,100
Hesse,DE-HE,24
Lower Saxony,DE-NI,44
Mecklenburg-Vorpommern,DE-MV,43
North Rhine-Westphalia,DE-NW,26
Rhineland-Palatinate,DE-RP,47
Saarland,DE-SL,0
Saxony,DE-SN,49
Saxony-Anhalt,DE-ST,95
Schleswig-Holstein,DE-SH,99
Thuringia,DE-TH,35
