geoName,geoCode,Sperrmüllentsorgung
Baden-Württemberg,DE-BW,19
Bavaria,DE-BY,17
Berlin,DE-BE,45
Brandenburg,DE-BB,87
Bremen,DE-HB,0
Hamburg,DE-HH,30
Hesse,DE-HE,26
Lower Saxony,DE-NI,8
Mecklenburg-Vorpommern,DE-MV,54
North Rhine-Westphalia,DE-NW,12
Rhineland-Palatinate,DE-RP,0
Saarland,DE-SL,0
Saxony,DE-SN,77
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,0
Thuringia,DE-TH,60
