geoName,geoCode,Kunststofffenster
Burgenland,AT-1,0
Carinthia,AT-2,100
Lower Austria,AT-3,59
Salzburg,AT-5,21
Styria,AT-6,43
Tyrol,AT-7,72
Upper Austria,AT-4,29
Vienna,AT-9,23
Vorarlberg,AT-8,0
