date,matrimonio ristorante,matrimonio cascina,matrimonio borgo,matrimonio villa,matrimonio castello,isPartial
2018-01-07,0,0,0,60,17,False
2018-01-14,17,0,0,17,17,False
2018-01-21,17,0,0,50,17,False
2018-01-28,25,0,0,25,0,False
2018-02-04,16,0,0,0,0,False
2018-02-11,0,0,0,33,17,False
2018-02-18,0,0,0,16,0,False
2018-02-25,16,0,0,16,0,False
2018-03-04,16,0,0,65,16,False
2018-03-11,25,0,0,33,16,False
2018-03-18,17,0,0,34,0,False
2018-03-25,17,0,0,26,0,False
2018-04-01,0,0,0,18,0,False
2018-04-08,25,0,0,25,0,False
2018-04-15,18,0,0,18,34,False
2018-04-22,27,0,0,44,35,False
2018-04-29,17,0,0,34,0,False
2018-05-06,33,0,0,49,16,False
2018-05-13,43,0,0,26,51,False
2018-05-20,42,0,0,51,25,False
2018-05-27,34,0,0,52,17,False
2018-06-03,17,0,0,17,0,False
2018-06-10,25,0,0,81,25,False
2018-06-17,0,0,0,25,0,False
2018-06-24,43,0,0,43,17,False
2018-07-01,17,0,0,100,17,False
2018-07-08,16,0,0,25,0,False
2018-07-15,17,0,0,34,0,False
2018-07-22,17,0,0,34,0,False
2018-07-29,18,0,0,18,0,False
2018-08-05,19,0,0,38,19,False
2018-08-12,0,0,0,0,0,False
2018-08-19,18,0,0,0,0,False
2018-08-26,34,0,0,25,17,False
2018-09-02,33,0,0,33,0,False
2018-09-09,17,0,0,50,17,False
2018-09-16,25,0,0,33,33,False
2018-09-23,0,0,0,33,25,False
2018-09-30,17,0,0,41,25,False
2018-10-07,34,0,0,26,17,False
2018-10-14,17,0,0,34,17,False
2018-10-21,17,0,0,25,0,False
2018-10-28,17,0,0,50,41,False
2018-11-04,16,0,0,16,0,False
2018-11-11,17,0,0,17,33,False
2018-11-18,16,0,0,24,0,False
2018-11-25,25,0,0,16,16,False
2018-12-02,17,0,0,26,17,False
2018-12-09,0,0,0,17,0,False
2018-12-16,0,0,0,18,18,False
2018-12-23,22,0,0,22,22,False
2018-12-30,20,0,0,20,20,False
2019-01-06,0,0,0,35,26,False
2019-01-13,16,0,0,25,25,False
2019-01-20,16,0,0,24,0,False
2019-01-27,16,0,0,41,16,False
2019-02-03,16,0,0,16,16,False
2019-02-10,17,0,0,58,0,False
2019-02-17,0,0,0,34,17,False
2019-02-24,17,0,0,50,0,False
2019-03-03,17,0,0,17,17,False
2019-03-10,17,0,0,17,0,False
2019-03-17,17,0,0,33,17,False
2019-03-24,17,0,0,17,17,False
2019-03-31,34,0,0,51,17,False
2019-04-07,0,0,0,34,0,False
2019-04-14,0,0,0,0,17,False
2019-04-21,0,0,0,38,38,False
2019-04-28,17,0,0,26,0,False
2019-05-05,17,0,0,25,34,False
2019-05-12,16,0,0,39,0,False
2019-05-19,24,0,0,40,16,False
2019-05-26,15,0,0,77,46,False
2019-06-02,0,0,0,34,0,False
2019-06-09,17,0,0,33,17,False
2019-06-16,17,0,0,50,17,False
2019-06-23,17,0,0,35,0,False
2019-06-30,17,0,0,68,17,False
2019-07-07,16,0,0,40,0,False
2019-07-14,16,0,0,48,16,False
2019-07-21,0,0,0,17,17,False
2019-07-28,25,0,0,51,17,False
2019-08-04,18,0,0,54,27,False
2019-08-11,39,0,0,19,19,False
2019-08-18,17,0,0,42,0,False
2019-08-25,15,0,0,31,31,False
2019-09-01,15,0,0,59,22,False
2019-09-08,38,0,0,76,31,False
2019-09-15,15,0,0,45,0,False
2019-09-22,15,0,0,59,15,False
2019-09-29,31,0,0,39,39,False
2019-10-06,31,0,0,39,31,False
2019-10-13,0,0,0,24,0,False
2019-10-20,15,0,0,38,31,False
2019-10-27,15,0,0,46,0,False
2019-11-03,0,0,0,15,45,False
2019-11-10,15,0,0,22,30,False
2019-11-17,15,0,0,15,44,False
2019-11-24,15,0,0,29,0,False
2019-12-01,0,0,0,15,23,False
2019-12-08,0,0,0,16,15,False
2019-12-15,16,0,0,16,16,False
2019-12-22,19,0,0,19,19,False
2019-12-29,0,0,0,0,18,False
2020-01-05,0,0,0,15,0,False
2020-01-12,14,0,0,28,0,False
2020-01-19,43,0,0,0,0,False
2020-01-26,14,0,0,14,14,False
2020-02-02,14,0,0,35,0,False
2020-02-09,28,0,0,36,21,False
2020-02-16,14,0,0,0,14,False
2020-02-23,20,0,0,13,0,False
2020-03-01,0,0,0,27,0,False
2020-03-08,13,0,0,13,13,False
2020-03-15,13,0,0,26,13,False
2020-03-22,12,0,0,0,0,False
2020-03-29,12,0,0,0,12,False
2020-04-05,0,0,0,13,13,False
2020-04-12,0,0,0,33,13,False
2020-04-19,12,0,0,25,12,False
2020-04-26,13,0,0,12,0,False
2020-05-03,0,0,0,13,26,False
2020-05-10,30,0,0,0,30,True
