date,hochzeit hotel,hochzeit schloss,hochzeit villa,isPartial
2018-01-07,40,28,11,False
2018-01-14,28,50,0,False
2018-01-21,33,50,22,False
2018-01-28,11,50,0,False
2018-02-04,17,34,11,False
2018-02-11,24,23,12,False
2018-02-18,41,35,0,False
2018-02-25,29,23,12,False
2018-03-04,23,64,0,False
2018-03-11,29,35,12,False
2018-03-18,41,29,12,False
2018-03-25,50,56,0,False
2018-04-01,19,38,0,False
2018-04-08,24,60,0,False
2018-04-15,12,48,0,False
2018-04-22,29,71,12,False
2018-04-29,24,42,12,False
2018-05-06,36,61,0,False
2018-05-13,75,86,11,False
2018-05-20,37,62,12,False
2018-05-27,56,56,12,False
2018-06-03,29,35,17,False
2018-06-10,45,61,0,False
2018-06-17,39,100,0,False
2018-06-24,11,50,22,False
2018-07-01,27,60,11,False
2018-07-08,27,77,27,False
2018-07-15,39,56,11,False
2018-07-22,40,28,11,False
2018-07-29,35,29,0,False
2018-08-05,24,42,24,False
2018-08-12,25,50,0,False
2018-08-19,37,68,0,False
2018-08-26,43,56,25,False
2018-09-02,24,49,0,False
2018-09-09,29,41,23,False
2018-09-16,23,59,12,False
2018-09-23,29,41,12,False
2018-09-30,18,35,12,False
2018-10-07,23,40,11,False
2018-10-14,52,63,0,False
2018-10-21,29,57,0,False
2018-10-28,23,46,12,False
2018-11-04,22,45,0,False
2018-11-11,23,45,0,False
2018-11-18,0,33,22,False
2018-11-25,22,39,0,False
2018-12-02,22,27,0,False
2018-12-09,17,22,0,False
2018-12-16,23,11,0,False
2018-12-23,20,54,0,False
2018-12-30,36,84,18,False
2019-01-06,16,53,11,False
2019-01-13,62,57,26,False
2019-01-20,26,36,10,False
2019-01-27,42,42,10,False
2019-02-03,31,31,10,False
2019-02-10,38,32,16,False
2019-02-17,32,32,0,False
2019-02-24,28,39,0,False
2019-03-03,22,16,11,False
2019-03-10,27,27,21,False
2019-03-17,68,57,11,False
2019-03-24,45,39,11,False
2019-03-31,23,23,11,False
2019-04-07,28,22,0,False
2019-04-14,12,18,0,False
2019-04-21,24,53,24,False
2019-04-28,22,60,0,False
2019-05-05,27,69,11,False
2019-05-12,27,54,0,False
2019-05-19,48,32,0,False
2019-05-26,39,55,0,False
2019-06-02,50,50,17,False
2019-06-09,41,70,12,False
2019-06-16,75,23,11,False
2019-06-23,34,56,11,False
2019-06-30,22,76,0,False
2019-07-07,47,52,10,False
2019-07-14,50,66,11,False
2019-07-21,57,57,0,False
2019-07-28,22,44,0,False
2019-08-04,70,41,35,False
2019-08-11,29,35,12,False
2019-08-18,42,36,12,False
2019-08-25,41,59,0,False
2019-09-01,33,55,17,False
2019-09-08,71,76,22,False
2019-09-15,39,39,22,False
2019-09-22,16,58,11,False
2019-09-29,21,53,0,False
2019-10-06,10,37,0,False
2019-10-13,26,42,21,False
2019-10-20,31,21,15,False
2019-10-27,16,52,10,False
2019-11-03,70,40,10,False
2019-11-10,21,36,21,False
2019-11-17,36,51,10,False
2019-11-24,15,20,0,False
2019-12-01,21,42,0,False
2019-12-08,10,31,0,False
2019-12-15,21,21,0,False
2019-12-22,24,37,0,False
2019-12-29,57,62,33,False
2020-01-05,40,74,10,False
2020-01-12,34,67,10,False
2020-01-19,20,54,0,False
2020-01-26,20,25,0,False
2020-02-02,39,19,19,False
2020-02-09,19,23,14,False
2020-02-16,20,55,10,False
2020-02-23,29,29,10,False
2020-03-01,38,24,10,False
2020-03-08,27,23,9,False
2020-03-15,22,22,9,False
2020-03-22,18,22,0,False
2020-03-29,17,13,0,False
2020-04-05,19,15,0,False
2020-04-12,14,28,9,False
2020-04-19,18,23,9,False
2020-04-26,9,26,9,False
2020-05-03,9,45,9,False
2020-05-10,13,9,9,False
2020-05-17,24,29,0,False
2020-05-24,46,27,9,False
2020-05-31,23,42,0,False
2020-06-07,32,26,11,True
