date,hochzeit hotel,hochzeit schloss,hochzeit villa,isPartial
2018-01-07,33,75,0,False
2018-01-14,24,65,0,False
2018-01-21,50,100,0,False
2018-01-28,25,50,0,False
2018-02-04,34,25,0,False
2018-02-11,50,51,0,False
2018-02-18,75,75,0,False
2018-02-25,37,58,0,False
2018-03-04,25,25,0,False
2018-03-11,74,25,0,False
2018-03-18,26,64,0,False
2018-03-25,65,43,0,False
2018-04-01,26,68,0,False
2018-04-08,86,77,0,False
2018-04-15,52,61,0,False
2018-04-22,61,73,0,False
2018-04-29,26,38,0,False
2018-05-06,66,35,0,False
2018-05-13,62,58,0,False
2018-05-20,65,52,0,False
2018-05-27,49,57,0,False
2018-06-03,33,38,0,False
2018-06-10,72,56,0,False
2018-06-17,24,49,0,False
2018-06-24,62,58,0,False
2018-07-01,61,65,0,False
2018-07-08,52,26,0,False
2018-07-15,55,64,0,False
2018-07-22,61,44,0,False
2018-07-29,25,51,0,False
2018-08-05,39,47,0,False
2018-08-12,39,59,0,False
2018-08-19,70,94,0,False
2018-08-26,61,61,0,False
2018-09-02,62,50,0,False
2018-09-09,49,61,0,False
2018-09-16,25,49,0,False
2018-09-23,66,50,0,False
2018-09-30,52,39,0,False
2018-10-07,51,64,0,False
2018-10-14,61,41,0,False
2018-10-21,36,36,0,False
2018-10-28,24,40,0,False
2018-11-04,83,32,0,False
2018-11-11,61,24,0,False
2018-11-18,36,56,0,False
2018-11-25,24,24,0,False
2018-12-02,36,24,0,False
2018-12-09,33,49,0,False
2018-12-16,75,50,0,False
2018-12-23,82,36,0,False
2018-12-30,59,42,0,False
2019-01-06,61,38,0,False
2019-01-13,46,46,0,False
2019-01-20,38,34,0,False
2019-01-27,23,23,0,False
2019-02-03,39,47,0,False
2019-02-10,47,32,0,False
2019-02-17,36,40,0,False
2019-02-24,40,32,0,False
2019-03-03,47,23,0,False
2019-03-10,53,23,0,False
2019-03-17,32,24,0,False
2019-03-24,32,32,0,False
2019-03-31,24,24,0,False
2019-04-07,51,0,0,False
2019-04-14,54,40,0,False
2019-04-21,0,33,0,False
2019-04-28,24,72,0,False
2019-05-05,31,35,0,False
2019-05-12,48,32,0,False
2019-05-19,47,24,0,False
2019-05-26,71,32,0,False
2019-06-02,23,39,0,False
2019-06-09,47,47,0,False
2019-06-16,47,47,0,False
2019-06-23,48,48,0,False
2019-06-30,35,23,0,False
2019-07-07,40,48,0,False
2019-07-14,34,25,0,False
2019-07-21,52,35,0,False
2019-07-28,49,24,0,False
2019-08-04,49,48,0,False
2019-08-11,59,67,0,False
2019-08-18,39,62,0,False
2019-08-25,45,91,0,False
2019-09-01,52,59,0,False
2019-09-08,45,38,0,False
2019-09-15,45,80,0,False
2019-09-22,79,75,0,False
2019-09-29,31,31,0,False
2019-10-06,54,46,0,False
2019-10-13,37,45,0,False
2019-10-20,45,22,0,False
2019-10-27,37,37,0,False
2019-11-03,22,54,0,False
2019-11-10,54,54,0,False
2019-11-17,22,44,0,False
2019-11-24,28,42,0,False
2019-12-01,43,21,0,False
2019-12-08,21,21,0,False
2019-12-15,44,37,0,False
2019-12-22,40,32,0,False
2019-12-29,52,59,0,False
2020-01-05,48,41,0,False
2020-01-12,30,27,0,False
2020-01-19,73,42,0,False
2020-01-26,27,34,0,False
2020-02-02,55,31,0,False
2020-02-09,50,20,0,False
2020-02-16,49,31,0,False
2020-02-23,27,21,0,False
2020-03-01,34,21,0,False
2020-03-08,19,19,0,False
2020-03-15,0,19,0,False
2020-03-22,19,0,0,False
2020-03-29,0,57,0,False
2020-04-05,42,21,0,False
2020-04-12,27,20,0,False
2020-04-19,19,0,0,False
2020-04-26,37,19,0,False
2020-05-03,0,19,0,False
2020-05-10,28,0,0,False
2020-05-17,29,98,0,False
2020-05-24,51,44,0,False
2020-05-31,19,37,0,False
2020-06-07,21,32,0,True
