geoName,geoCode,hochzeit hotel,hochzeit villa,hochzeit schloss,hochzeit landhaus
Baden-Württemberg,DE-BW,34,7,59,0
Bavaria,DE-BY,31,9,60,0
Berlin,DE-BE,43,11,46,0
Brandenburg,DE-BB,25,0,75,0
Bremen,DE-HB,0,0,0,0
Hamburg,DE-HH,82,0,18,0
Hesse,DE-HE,26,13,61,0
Lower Saxony,DE-NI,47,0,53,0
Mecklenburg-Vorpommern,DE-MV,0,0,100,0
North Rhine-Westphalia,DE-NW,31,11,52,6
Rhineland-Palatinate,DE-RP,56,0,44,0
Saarland,DE-SL,0,0,0,0
Saxony,DE-SN,42,0,58,0
Saxony-Anhalt,DE-ST,16,0,84,0
Schleswig-Holstein,DE-SH,78,0,22,0
Thuringia,DE-TH,37,0,63,0
