geoName,geoCode,hochzeit hotel,hochzeit schloss,hochzeit villa
Baden-Württemberg,DE-BW,34,58,8
Bavaria,DE-BY,33,59,8
Berlin,DE-BE,34,49,17
Brandenburg,DE-BB,42,58,0
Bremen,DE-HB,0,0,0
Hamburg,DE-HH,58,42,0
Hesse,DE-HE,25,67,8
Lower Saxony,DE-NI,43,57,0
Mecklenburg-Vorpommern,DE-MV,33,67,0
North Rhine-Westphalia,DE-NW,27,63,10
Rhineland-Palatinate,DE-RP,36,51,13
Saarland,DE-SL,0,100,0
Saxony,DE-SN,33,56,11
Saxony-Anhalt,DE-ST,23,77,0
Schleswig-Holstein,DE-SH,45,55,0
Thuringia,DE-TH,43,57,0
