date,boda normal,boda restaurante,finca para bodas,palacio bodas,boda en iglesia,isPartial
2018-01-07,0,27,7,20,20,False
2018-01-14,7,40,20,13,20,False
2018-01-21,0,20,27,27,20,False
2018-01-28,0,40,13,47,33,False
2018-02-04,0,46,13,26,7,False
2018-02-11,0,27,20,20,0,False
2018-02-18,0,34,7,7,0,False
2018-02-25,0,39,0,13,26,False
2018-03-04,0,26,13,13,13,False
2018-03-11,0,52,26,33,13,False
2018-03-18,0,40,0,0,20,False
2018-03-25,0,22,23,37,0,False
2018-04-01,0,34,7,20,14,False
2018-04-08,0,19,13,19,6,False
2018-04-15,0,61,20,34,7,False
2018-04-22,0,46,0,13,13,False
2018-04-29,7,54,0,20,7,False
2018-05-06,0,45,20,45,0,False
2018-05-13,0,47,20,47,27,False
2018-05-20,7,60,20,33,40,False
2018-05-27,0,59,33,20,20,False
2018-06-03,0,64,13,13,6,False
2018-06-10,0,50,44,19,19,False
2018-06-17,0,14,7,14,0,False
2018-06-24,7,48,21,41,21,False
2018-07-01,7,27,14,47,7,False
2018-07-08,0,47,34,27,7,False
2018-07-15,0,84,28,35,21,False
2018-07-22,0,63,7,49,14,False
2018-07-29,0,35,21,35,0,False
2018-08-05,7,35,14,28,7,False
2018-08-12,0,50,0,22,29,False
2018-08-19,0,65,7,7,7,False
2018-08-26,0,62,14,27,7,False
2018-09-02,0,86,0,40,27,False
2018-09-09,20,27,47,20,33,False
2018-09-16,0,46,33,33,33,False
2018-09-23,0,51,13,64,19,False
2018-09-30,0,53,0,46,20,False
2018-10-07,0,67,20,40,7,False
2018-10-14,6,45,0,52,13,False
2018-10-21,0,39,13,33,0,False
2018-10-28,7,34,0,21,27,False
2018-11-04,6,13,0,19,6,False
2018-11-11,6,32,6,32,0,False
2018-11-18,0,19,6,19,0,False
2018-11-25,0,45,0,26,13,False
2018-12-02,0,34,0,0,7,False
2018-12-09,0,34,14,0,0,False
2018-12-16,0,7,14,7,7,False
2018-12-23,0,0,0,39,0,False
2018-12-30,7,15,0,0,15,False
2019-01-06,0,13,7,20,0,False
2019-01-13,0,19,6,19,13,False
2019-01-20,0,18,6,12,0,False
2019-01-27,0,30,43,12,6,False
2019-02-03,6,70,6,19,6,False
2019-02-10,0,32,6,6,6,False
2019-02-17,0,32,0,13,6,False
2019-02-24,0,32,26,13,6,False
2019-03-03,0,40,53,33,0,False
2019-03-10,0,27,13,33,20,False
2019-03-17,0,47,13,13,27,False
2019-03-24,13,33,13,20,7,False
2019-03-31,0,50,6,0,6,False
2019-04-07,6,25,0,19,6,False
2019-04-14,0,27,27,7,13,False
2019-04-21,0,58,6,13,6,False
2019-04-28,0,39,13,26,13,False
2019-05-05,6,69,31,6,6,False
2019-05-12,0,32,19,6,0,False
2019-05-19,0,50,13,19,19,False
2019-05-26,6,31,25,6,12,False
2019-06-02,0,55,12,24,18,False
2019-06-09,0,56,13,31,12,False
2019-06-16,13,65,26,19,0,False
2019-06-23,0,100,0,60,20,False
2019-06-30,0,59,0,26,13,False
2019-07-07,0,58,6,26,13,False
2019-07-14,7,27,40,20,27,False
2019-07-21,0,67,7,46,27,False
2019-07-28,0,21,14,41,7,False
2019-08-04,7,27,0,41,14,False
2019-08-11,0,63,56,21,0,False
2019-08-18,7,47,7,33,7,False
2019-08-25,0,19,19,38,26,False
2019-09-01,0,18,37,37,24,False
2019-09-08,0,37,12,61,6,False
2019-09-15,0,36,12,42,6,False
2019-09-22,6,42,24,24,30,False
2019-09-29,0,24,12,24,18,False
2019-10-06,0,66,18,24,18,False
2019-10-13,0,41,18,0,6,False
2019-10-20,6,41,23,12,0,False
2019-10-27,0,24,6,12,0,False
2019-11-03,0,17,17,17,12,False
2019-11-10,0,29,0,17,12,False
2019-11-17,6,35,6,23,18,False
2019-11-24,0,62,6,6,6,False
2019-12-01,0,42,0,24,12,False
2019-12-08,0,6,0,30,0,False
2019-12-15,0,12,0,17,6,False
2019-12-22,0,26,7,20,0,False
2019-12-29,0,33,13,33,0,False
2020-01-05,0,29,18,17,6,False
2020-01-12,5,43,11,22,5,False
2020-01-19,5,49,27,16,16,False
2020-01-26,0,55,11,28,17,False
2020-02-02,0,28,11,17,0,False
2020-02-09,0,61,11,33,6,False
2020-02-16,6,50,11,6,6,False
2020-02-23,0,33,11,27,27,False
2020-03-01,0,37,11,42,0,False
2020-03-08,0,21,5,26,5,False
2020-03-15,0,5,5,5,15,False
2020-03-22,0,10,0,5,0,False
2020-03-29,0,19,0,5,5,False
2020-04-05,0,10,0,5,5,False
2020-04-12,0,10,5,10,5,False
2020-04-19,0,5,10,14,0,False
2020-04-26,0,22,11,11,6,True
