geoName,geoCode_x,mariage mer,jardin mariage,mariage chateau_x,mariage palace,ferme mariage ,geoCode_y,mariage chateau_y,restaurant mariage,location salle des fêtes
Alsace,FR-A,0,0,69,0,31,FR-A,50,50,0
Aquitaine,FR-B,6,10,75,0,9,FR-B,81,19,0
Auvergne,FR-C,0,0,100,0,0,FR-C,85,15,0
Brittany,FR-E,22,15,63,0,0,FR-E,81,19,0
Burgundy,FR-D,0,0,100,0,0,FR-D,80,20,0
Centre-Val de Loire,FR-F,0,0,85,0,15,FR-F,54,26,20
Champagne-Ardenne,FR-G,0,0,100,0,0,FR-G,86,14,0
Corsica,FR-H,0,0,0,0,0,FR-H,0,0,0
Franche-Comté,FR-I,0,0,100,0,0,FR-I,67,33,0
Languedoc-Roussillon,FR-K,15,0,85,0,0,FR-K,85,15,0
Limousin,FR-L,14,0,86,0,0,FR-L,75,25,0
Lorraine,FR-M,0,0,100,0,0,FR-M,52,48,0
Lower Normandy,FR-P,50,0,50,0,0,FR-P,100,0,0
Midi-Pyrénées,FR-N,0,13,87,0,0,FR-N,69,31,0
Nord-Pas-de-Calais,FR-O,20,13,42,0,25,FR-O,57,34,9
Pays de la Loire,FR-R,16,12,72,0,0,FR-R,73,27,0
Picardy,FR-S,0,0,100,0,0,FR-S,72,28,0
Poitou-Charentes,FR-T,0,0,100,0,0,FR-T,84,16,0
Provence-Alpes-Côte d'Azur,FR-U,22,19,59,0,0,FR-U,59,41,0
Rhone-Alpes,FR-V,13,8,68,0,11,FR-V,64,28,8
Upper Normandy,FR-Q,0,0,100,0,0,FR-Q,0,0,0
Île-de-France,FR-J,9,10,64,3,14,FR-J,68,28,4
