geoName,geoCode,matrimonio ristorante,matrimonio cascina,matrimonio borgo,matrimonio villa,matrimonio castello
Abruzzo,IT-65,0,0,0,64,36
Aosta,IT-23,0,0,0,0,0
Apulia,IT-75,25,0,0,50,25
Basilicata,IT-77,0,0,0,0,0
Calabria,IT-78,0,0,0,63,37
Campania,IT-72,16,0,0,73,11
Emilia-Romagna,IT-45,26,0,0,33,41
Friuli-Venezia Giulia,IT-36,0,0,0,45,55
Lazio,IT-62,16,0,12,48,24
Liguria,IT-42,0,0,0,74,26
Lombardy,IT-25,20,7,6,47,20
Marche,IT-57,0,0,0,75,25
Molise,IT-67,0,0,0,0,0
Piedmont,IT-21,21,0,0,39,40
Sardinia,IT-88,0,0,0,100,0
Sicily,IT-82,11,0,0,56,33
Trentino-Alto Adige/South Tyrol,IT-32,0,0,0,100,0
Tuscany,IT-52,20,0,0,51,29
Umbria,IT-55,0,0,0,100,0
Veneto,IT-34,23,0,0,50,27
