date,mariage mer,jardin mariage,mariage chateau_x,mariage palace,ferme mariage ,isPartial_x,mariage chateau_y,restaurant mariage,location salle des fêtes,isPartial_y
2018-01-07,7,5,55,6,7,False,55,22,7,False
2018-01-14,17,7,51,0,10,False,51,30,3,False
2018-01-21,15,9,47,2,6,False,47,31,6,False
2018-01-28,15,4,56,2,6,False,56,21,6,False
2018-02-04,12,8,48,4,5,False,48,25,4,False
2018-02-11,11,5,47,5,11,False,47,20,9,False
2018-02-18,12,3,55,2,13,False,55,25,9,False
2018-02-25,18,9,46,5,6,False,46,21,7,False
2018-03-04,11,12,46,4,8,False,46,20,8,False
2018-03-11,12,4,58,2,8,False,58,22,4,False
2018-03-18,8,9,48,4,6,False,48,26,6,False
2018-03-25,11,5,41,0,4,False,41,17,3,False
2018-04-01,15,7,51,4,11,False,51,15,3,False
2018-04-08,9,11,43,2,6,False,43,31,2,False
2018-04-15,12,11,50,2,8,False,50,25,6,False
2018-04-22,14,7,52,2,6,False,52,24,5,False
2018-04-29,16,19,51,6,14,False,51,31,7,False
2018-05-06,20,10,52,6,9,False,52,23,5,False
2018-05-13,16,14,100,7,11,False,100,40,5,False
2018-05-20,20,17,76,3,12,False,76,37,0,False
2018-05-27,11,10,76,2,6,False,76,35,6,False
2018-06-03,17,7,67,2,10,False,67,30,4,False
2018-06-10,19,13,51,2,9,False,51,19,7,False
2018-06-17,17,13,80,6,8,False,80,27,3,False
2018-06-24,20,13,52,6,10,False,52,27,8,False
2018-07-01,15,9,61,4,11,False,61,31,7,False
2018-07-08,14,15,52,3,7,False,52,27,0,False
2018-07-15,16,10,50,3,7,False,50,21,2,False
2018-07-22,24,6,71,0,16,False,71,30,5,False
2018-07-29,15,12,73,4,11,False,73,33,3,False
2018-08-05,10,6,58,2,9,False,58,29,2,False
2018-08-12,8,13,63,2,9,False,63,30,8,False
2018-08-19,13,11,65,3,6,False,65,31,3,False
2018-08-26,15,5,68,4,20,False,68,32,6,False
2018-09-02,12,13,67,2,11,False,67,36,9,False
2018-09-09,17,11,60,0,4,False,60,31,5,False
2018-09-16,10,8,78,0,9,False,78,31,6,False
2018-09-23,15,9,54,2,13,False,54,20,9,False
2018-09-30,8,8,61,2,6,False,61,27,8,False
2018-10-07,14,10,49,2,5,False,49,31,4,False
2018-10-14,9,11,58,2,8,False,58,26,4,False
2018-10-21,10,4,45,2,12,False,45,20,2,False
2018-10-28,9,8,48,2,11,False,48,19,3,False
2018-11-04,6,5,40,4,5,False,40,21,2,False
2018-11-11,6,7,30,2,6,False,30,18,2,False
2018-11-18,3,4,28,3,7,False,28,16,6,False
2018-11-25,7,6,32,2,4,False,32,15,2,False
2018-12-02,4,2,25,2,7,False,25,14,4,False
2018-12-09,5,4,20,2,2,False,20,10,5,False
2018-12-16,8,4,27,2,4,False,27,17,13,False
2018-12-23,8,6,27,2,8,False,27,15,8,False
2018-12-30,13,6,55,4,9,False,55,16,4,False
2019-01-06,7,5,44,2,9,False,44,24,6,False
2019-01-13,15,6,39,2,13,False,39,31,7,False
2019-01-20,7,5,54,4,12,False,54,28,10,False
2019-01-27,8,5,47,4,10,False,47,20,6,False
2019-02-03,11,7,38,4,10,False,38,21,6,False
2019-02-10,14,7,47,0,13,False,47,24,4,False
2019-02-17,14,14,47,2,12,False,47,27,11,False
2019-02-24,10,5,48,0,10,False,48,34,4,False
2019-03-03,9,8,43,5,11,False,43,31,4,False
2019-03-10,8,10,51,2,6,False,51,28,6,False
2019-03-17,8,11,61,2,13,False,61,21,9,False
2019-03-24,8,12,45,0,4,False,45,24,5,False
2019-03-31,7,10,56,0,8,False,56,20,4,False
2019-04-07,10,12,51,0,14,False,51,27,7,False
2019-04-14,10,12,58,2,11,False,58,21,2,False
2019-04-21,11,13,75,0,13,False,75,33,5,False
2019-04-28,10,15,54,2,12,False,54,33,5,False
2019-05-05,14,12,59,4,13,False,59,31,4,False
2019-05-12,11,13,53,4,12,False,53,24,7,False
2019-05-19,6,15,56,2,17,False,56,27,5,False
2019-05-26,5,13,60,0,8,False,60,15,2,False
2019-06-02,13,12,56,2,11,False,56,42,7,False
2019-06-09,19,12,75,2,15,False,75,27,3,False
2019-06-16,13,10,55,9,10,False,55,22,3,False
2019-06-23,9,17,72,4,9,False,72,35,4,False
2019-06-30,14,10,77,4,11,False,77,27,7,False
2019-07-07,10,13,62,3,13,False,62,18,5,False
2019-07-14,18,11,64,4,11,False,64,20,6,False
2019-07-21,12,11,62,5,10,False,62,38,4,False
2019-07-28,20,12,56,4,11,False,56,34,6,False
2019-08-04,22,7,57,3,12,False,57,42,5,False
2019-08-11,17,10,64,0,12,False,64,39,4,False
2019-08-18,21,6,79,0,15,False,79,30,3,False
2019-08-25,14,11,56,2,9,False,56,27,9,False
2019-09-01,15,5,55,0,14,False,55,28,8,False
2019-09-08,12,12,65,3,11,False,65,33,7,False
2019-09-15,8,12,90,0,16,False,90,21,7,False
2019-09-22,8,4,56,0,4,False,56,25,5,False
2019-09-29,17,5,63,3,14,False,63,29,9,False
2019-10-06,9,5,52,3,10,False,52,26,10,False
2019-10-13,4,6,56,3,12,False,56,21,7,False
2019-10-20,10,11,51,2,9,False,51,31,7,False
2019-10-27,11,4,42,2,12,False,42,26,7,False
2019-11-03,4,3,44,2,9,False,44,23,3,False
2019-11-10,4,3,44,2,12,False,44,19,8,False
2019-11-17,8,6,31,3,4,False,31,22,5,False
2019-11-24,3,3,29,2,7,False,29,17,4,False
2019-12-01,4,3,24,2,3,False,24,12,5,False
2019-12-08,5,3,32,3,2,False,32,23,5,False
2019-12-15,5,5,24,3,3,False,24,14,3,False
2019-12-22,4,5,45,0,7,False,45,17,2,False
2019-12-29,10,5,39,2,12,False,39,29,9,False
2020-01-05,12,5,48,0,6,False,48,20,11,False
2020-01-12,4,6,56,2,12,False,56,29,8,False
2020-01-19,8,12,51,3,12,False,51,32,10,False
2020-01-26,7,8,50,6,6,False,50,27,8,False
2020-02-02,7,5,51,2,7,False,51,23,5,False
2020-02-09,9,8,44,2,10,False,44,27,2,False
2020-02-16,16,7,61,3,9,False,61,28,3,False
2020-02-23,16,2,46,0,8,False,46,27,6,False
2020-03-01,5,9,38,2,11,False,38,21,5,False
2020-03-08,6,4,33,2,14,False,33,12,3,False
2020-03-15,4,3,12,0,2,False,12,1,4,False
2020-03-22,1,7,21,0,4,False,21,4,4,False
2020-03-29,5,4,24,0,4,False,24,5,4,False
2020-04-05,7,4,28,0,4,False,28,4,4,False
2020-04-12,6,7,39,1,6,False,39,14,3,False
2020-04-19,8,9,29,3,6,False,29,11,3,False
2020-04-26,8,7,33,1,6,False,33,12,4,False
2020-05-03,11,32,53,0,11,True,53,21,11,True
