date,matrimonio ristorante,matrimonio cascina,matrimonio borgo,matrimonio villa,matrimonio castello,isPartial
2018-01-07,10,0,0,54,14,False
2018-01-14,20,0,0,37,0,False
2018-01-21,21,0,0,28,10,False
2018-01-28,17,0,0,20,7,False
2018-02-04,7,0,0,23,7,False
2018-02-11,7,0,0,22,7,False
2018-02-18,20,0,0,27,14,False
2018-02-25,16,0,0,52,0,False
2018-03-04,14,0,0,42,0,False
2018-03-11,10,0,0,24,0,False
2018-03-18,14,0,0,31,14,False
2018-03-25,15,0,0,33,0,False
2018-04-01,0,0,0,38,8,False
2018-04-08,22,0,0,44,15,False
2018-04-15,14,0,0,43,0,False
2018-04-22,7,0,0,48,7,False
2018-04-29,7,0,0,43,7,False
2018-05-06,41,0,0,41,14,False
2018-05-13,25,0,0,58,11,False
2018-05-20,14,0,0,100,25,False
2018-05-27,7,0,0,52,0,False
2018-06-03,22,0,0,62,15,False
2018-06-10,10,0,0,57,7,False
2018-06-17,17,0,0,52,7,False
2018-06-24,14,0,0,53,25,False
2018-07-01,14,0,0,46,0,False
2018-07-08,14,0,0,50,18,False
2018-07-15,15,0,0,41,15,False
2018-07-22,22,0,0,41,11,False
2018-07-29,11,0,0,29,7,False
2018-08-05,8,0,0,54,15,False
2018-08-12,13,0,0,25,0,False
2018-08-19,8,0,0,25,13,False
2018-08-26,8,0,0,38,8,False
2018-09-02,21,0,0,56,14,False
2018-09-09,21,0,0,88,7,False
2018-09-16,17,0,0,61,20,False
2018-09-23,24,0,0,42,14,False
2018-09-30,7,0,0,66,17,False
2018-10-07,7,0,0,55,11,False
2018-10-14,15,0,0,48,15,False
2018-10-21,14,0,0,35,10,False
2018-10-28,7,0,0,24,21,False
2018-11-04,25,0,0,32,7,False
2018-11-11,15,0,0,34,8,False
2018-11-18,7,0,0,22,7,False
2018-11-25,7,0,0,14,7,False
2018-12-02,8,0,0,23,30,False
2018-12-09,0,0,0,23,15,False
2018-12-16,8,0,0,8,15,False
2018-12-23,16,0,0,31,8,False
2018-12-30,7,0,0,15,19,False
2019-01-06,11,0,0,18,7,False
2019-01-13,7,0,0,34,7,False
2019-01-20,6,0,0,36,13,False
2019-01-27,10,0,0,27,10,False
2019-02-03,17,0,0,37,13,False
2019-02-10,14,0,0,27,7,False
2019-02-17,13,0,0,40,20,False
2019-02-24,14,0,0,20,7,False
2019-03-03,7,0,0,21,14,False
2019-03-10,14,0,0,17,20,False
2019-03-17,11,0,0,21,7,False
2019-03-24,21,0,0,25,11,False
2019-03-31,21,0,0,31,14,False
2019-04-07,28,0,0,31,14,False
2019-04-14,18,0,0,33,15,False
2019-04-21,15,0,0,33,7,False
2019-04-28,17,0,0,48,7,False
2019-05-05,7,0,0,45,27,False
2019-05-12,14,0,0,31,20,False
2019-05-19,17,0,0,53,13,False
2019-05-26,6,0,0,67,19,False
2019-06-02,14,0,0,43,14,False
2019-06-09,26,0,0,40,7,False
2019-06-16,7,0,0,29,11,False
2019-06-23,7,0,0,22,7,False
2019-06-30,8,0,0,27,0,False
2019-07-07,7,0,0,33,7,False
2019-07-14,15,0,0,29,15,False
2019-07-21,0,0,0,15,8,False
2019-07-28,8,0,0,30,8,False
2019-08-04,16,0,0,20,20,False
2019-08-11,13,0,0,13,9,False
2019-08-18,16,0,0,40,8,False
2019-08-25,21,0,0,42,7,False
2019-09-01,13,0,0,72,20,False
2019-09-08,13,0,0,40,17,False
2019-09-15,10,0,0,52,23,False
2019-09-22,25,0,0,44,13,False
2019-09-29,32,0,0,38,6,False
2019-10-06,7,0,0,94,7,False
2019-10-13,20,0,0,27,17,False
2019-10-20,7,0,0,23,19,False
2019-10-27,19,0,0,32,13,False
2019-11-03,12,0,0,18,12,False
2019-11-10,6,0,0,23,6,False
2019-11-17,0,0,0,19,6,False
2019-11-24,13,0,0,26,0,False
2019-12-01,7,0,0,20,7,False
2019-12-08,7,0,0,10,7,False
2019-12-15,7,0,0,30,7,False
2019-12-22,7,0,0,47,15,False
2019-12-29,0,0,0,28,21,False
2020-01-05,23,0,0,42,13,False
2020-01-12,12,0,0,34,12,False
2020-01-19,10,0,0,51,0,False
2020-01-26,25,0,0,47,12,False
2020-02-02,21,0,0,46,6,False
2020-02-09,13,0,0,22,9,False
2020-02-16,19,0,0,28,9,False
2020-02-23,6,0,0,30,6,False
2020-03-01,6,0,0,14,11,False
2020-03-08,6,0,0,23,0,False
2020-03-15,0,0,0,0,5,False
2020-03-22,5,0,0,0,0,False
2020-03-29,5,0,0,0,5,False
2020-04-05,11,0,0,25,6,False
2020-04-12,0,0,0,14,8,False
2020-04-19,15,0,0,7,25,False
2020-04-26,15,0,0,5,10,False
2020-05-03,0,0,0,5,5,False
2020-05-10,0,0,0,12,49,True
