geoName,geoCode,boda normal,boda restaurante,finca para bodas,palacio bodas,boda en iglesia
Andalusia,ES-AN,0,30,6,23,41
Aragon,ES-AR,0,0,0,0,0
Asturias,ES-AS,0,0,0,100,0
Balearic Islands,ES-IB,0,0,0,0,0
Basque Country,ES-PV,0,0,0,0,0
Canary Islands,ES-CN,0,0,100,0,0
Cantabria,ES-CB,0,0,0,100,0
Castile and León,ES-CL,0,0,0,0,0
Castile-La Mancha,ES-CM,0,0,100,0,0
Catalonia,ES-CT,0,100,0,0,0
Ceuta,ES-CE,0,0,0,0,0
Community of Madrid,ES-MD,0,27,20,38,15
Extremadura,ES-EX,0,0,0,0,0
Galicia,ES-GA,0,0,0,0,0
La Rioja,ES-RI,0,0,0,0,0
Melilla,ES-ML,0,0,0,0,0
Navarre,ES-NC,0,0,0,0,0
Region of Murcia,ES-MC,0,0,0,0,0
Valencian Community,ES-VC,0,69,31,0,0
