date,matrimonio ristorante,matrimonio cascina,matrimonio borgo,matrimonio villa,matrimonio castello,isPartial
2018-01-07,24,3,4,56,24,False
2018-01-14,23,7,5,57,16,False
2018-01-21,27,4,6,64,23,False
2018-01-28,31,8,5,48,9,False
2018-02-04,13,4,3,37,17,False
2018-02-11,22,5,4,48,17,False
2018-02-18,21,6,6,63,10,False
2018-02-25,31,4,5,42,8,False
2018-03-04,21,3,5,38,14,False
2018-03-11,18,5,3,43,11,False
2018-03-18,16,5,4,44,17,False
2018-03-25,29,2,2,53,14,False
2018-04-01,23,3,9,60,16,False
2018-04-08,23,4,2,58,16,False
2018-04-15,25,3,13,62,18,False
2018-04-22,20,7,7,68,15,False
2018-04-29,26,5,5,50,24,False
2018-05-06,19,4,6,69,19,False
2018-05-13,28,7,7,64,53,False
2018-05-20,32,11,9,82,38,False
2018-05-27,32,5,7,76,21,False
2018-06-03,24,4,8,84,27,False
2018-06-10,33,3,6,73,20,False
2018-06-17,26,6,6,88,17,False
2018-06-24,30,3,8,88,30,False
2018-07-01,29,4,10,74,24,False
2018-07-08,33,4,3,75,19,False
2018-07-15,34,2,5,71,32,False
2018-07-22,17,5,9,79,23,False
2018-07-29,21,6,6,50,21,False
2018-08-05,22,6,4,51,19,False
2018-08-12,14,2,8,48,17,False
2018-08-19,29,6,9,60,22,False
2018-08-26,42,5,10,88,34,False
2018-09-02,38,4,8,100,38,False
2018-09-09,48,5,12,91,29,False
2018-09-16,25,6,4,83,27,False
2018-09-23,22,5,4,83,22,False
2018-09-30,21,5,4,79,22,False
2018-10-07,24,6,2,53,28,False
2018-10-14,24,2,6,55,26,False
2018-10-21,16,4,8,45,25,False
2018-10-28,24,5,4,47,25,False
2018-11-04,14,4,3,51,15,False
2018-11-11,11,3,5,41,19,False
2018-11-18,9,3,4,31,11,False
2018-11-25,16,6,3,31,17,False
2018-12-02,18,0,4,27,19,False
2018-12-09,9,0,4,27,14,False
2018-12-16,13,3,2,22,11,False
2018-12-23,20,2,2,26,19,False
2018-12-30,9,4,4,43,23,False
2019-01-06,17,5,10,52,21,False
2019-01-13,16,5,7,47,23,False
2019-01-20,11,3,6,51,16,False
2019-01-27,20,7,6,50,19,False
2019-02-03,15,3,3,48,19,False
2019-02-10,24,2,6,49,20,False
2019-02-17,16,2,5,38,17,False
2019-02-24,12,2,2,40,19,False
2019-03-03,17,5,4,53,19,False
2019-03-10,15,5,4,45,11,False
2019-03-17,17,4,3,49,15,False
2019-03-24,22,8,4,43,13,False
2019-03-31,26,3,4,38,19,False
2019-04-07,16,3,3,49,11,False
2019-04-14,21,5,5,44,15,False
2019-04-21,25,6,6,75,17,False
2019-04-28,16,2,5,80,19,False
2019-05-05,21,5,6,69,25,False
2019-05-12,16,4,3,62,19,False
2019-05-19,31,3,6,69,14,False
2019-05-26,21,2,10,70,26,False
2019-06-02,25,3,6,58,20,False
2019-06-09,34,5,5,62,11,False
2019-06-16,27,6,9,68,25,False
2019-06-23,18,4,4,66,22,False
2019-06-30,28,4,4,77,26,False
2019-07-07,20,5,9,69,22,False
2019-07-14,12,3,4,70,16,False
2019-07-21,22,4,5,46,22,False
2019-07-28,28,4,5,54,17,False
2019-08-04,24,4,7,50,22,False
2019-08-11,16,4,5,53,28,False
2019-08-18,14,7,3,59,20,False
2019-08-25,26,8,5,70,39,False
2019-09-01,29,6,8,74,39,False
2019-09-08,31,5,10,69,42,False
2019-09-15,25,7,13,98,29,False
2019-09-22,32,6,8,70,24,False
2019-09-29,25,7,8,61,16,False
2019-10-06,27,13,4,68,23,False
2019-10-13,12,3,6,63,23,False
2019-10-20,23,3,8,38,26,False
2019-10-27,12,3,4,41,22,False
2019-11-03,17,2,2,38,13,False
2019-11-10,10,2,2,35,13,False
2019-11-17,14,6,4,30,17,False
2019-11-24,9,5,7,24,15,False
2019-12-01,11,2,4,28,17,False
2019-12-08,6,7,2,27,18,False
2019-12-15,18,5,5,21,12,False
2019-12-22,14,2,4,30,22,False
2019-12-29,19,5,8,54,31,False
2020-01-05,25,3,3,51,17,False
2020-01-12,24,8,4,41,20,False
2020-01-19,18,6,5,45,27,False
2020-01-26,20,3,3,37,9,False
2020-02-02,15,3,4,38,16,False
2020-02-09,19,5,2,37,16,False
2020-02-16,15,3,3,41,17,False
2020-02-23,10,3,6,40,9,False
2020-03-01,16,2,4,26,13,False
2020-03-08,6,0,0,13,2,False
2020-03-15,5,0,1,13,5,False
2020-03-22,3,1,1,10,5,False
2020-03-29,6,0,0,12,3,False
2020-04-05,6,3,1,16,7,False
2020-04-12,7,0,4,15,21,False
2020-04-19,7,1,1,19,11,False
2020-04-26,5,0,2,11,15,False
2020-05-03,9,2,4,19,13,False
2020-05-10,3,0,0,11,26,True
