date,hochzeit hotel,hochzeit bauernhof,hochzeit villa,hochzeit schloss,isPartial
2018-01-07,17,34,0,25,False
2018-01-14,17,0,16,67,False
2018-01-21,85,17,17,59,False
2018-01-28,35,0,0,26,False
2018-02-04,17,17,0,17,False
2018-02-11,53,0,0,44,False
2018-02-18,17,17,17,17,False
2018-02-25,17,17,0,17,False
2018-03-04,17,17,0,25,False
2018-03-11,0,17,17,25,False
2018-03-18,34,0,0,26,False
2018-03-25,18,18,0,18,False
2018-04-01,19,19,0,19,False
2018-04-08,18,0,18,18,False
2018-04-15,37,0,0,18,False
2018-04-22,0,18,0,71,False
2018-04-29,54,0,27,27,False
2018-05-06,38,19,19,37,False
2018-05-13,35,17,26,61,False
2018-05-20,100,36,0,27,False
2018-05-27,18,0,18,44,False
2018-06-03,17,0,17,17,False
2018-06-10,60,17,33,34,False
2018-06-17,0,0,0,26,False
2018-06-24,18,18,18,35,False
2018-07-01,27,18,18,27,False
2018-07-08,0,19,19,66,False
2018-07-15,19,0,0,39,False
2018-07-22,40,0,0,20,False
2018-07-29,63,0,42,31,False
2018-08-05,19,0,37,19,False
2018-08-12,54,18,18,18,False
2018-08-19,27,0,0,89,False
2018-08-26,35,26,17,52,False
2018-09-02,27,0,0,35,False
2018-09-09,62,0,18,62,False
2018-09-16,44,17,17,52,False
2018-09-23,35,0,18,18,False
2018-09-30,54,0,18,18,False
2018-10-07,19,18,18,27,False
2018-10-14,37,0,0,18,False
2018-10-21,0,18,0,27,False
2018-10-28,17,17,17,17,False
2018-11-04,0,17,0,25,False
2018-11-11,35,17,0,43,False
2018-11-18,0,17,0,42,False
2018-11-25,25,0,33,16,False
2018-12-02,17,17,17,26,False
2018-12-09,17,0,0,52,False
2018-12-16,36,0,0,18,False
2018-12-23,33,0,0,87,False
2018-12-30,0,19,29,19,False
2019-01-06,16,0,16,65,False
2019-01-13,17,0,17,17,False
2019-01-20,32,0,32,24,False
2019-01-27,32,0,16,72,False
2019-02-03,25,0,25,34,False
2019-02-10,34,0,17,0,False
2019-02-17,26,0,17,0,False
2019-02-24,25,0,0,17,False
2019-03-03,32,0,16,0,False
2019-03-10,50,0,16,17,False
2019-03-17,17,0,0,0,False
2019-03-24,17,0,0,43,False
2019-03-31,34,0,17,17,False
2019-04-07,32,16,0,64,False
2019-04-14,19,0,19,28,False
2019-04-21,75,0,19,37,False
2019-04-28,32,16,32,32,False
2019-05-05,16,16,16,32,False
2019-05-12,17,0,17,25,False
2019-05-19,33,33,17,49,False
2019-05-26,53,18,18,35,False
2019-06-02,25,0,33,33,False
2019-06-09,33,0,33,0,False
2019-06-16,26,0,34,42,False
2019-06-23,27,18,36,18,False
2019-06-30,18,0,18,18,False
2019-07-07,18,0,0,27,False
2019-07-14,19,0,19,19,False
2019-07-21,31,0,20,61,False
2019-07-28,42,0,0,21,False
2019-08-04,38,38,38,19,False
2019-08-11,17,0,17,52,False
2019-08-18,17,17,0,33,False
2019-08-25,33,0,17,84,False
2019-09-01,40,24,32,48,False
2019-09-08,17,17,50,58,False
2019-09-15,25,0,16,33,False
2019-09-22,25,33,16,49,False
2019-09-29,17,17,17,17,False
2019-10-06,25,0,17,17,False
2019-10-13,0,0,33,25,False
2019-10-20,32,0,0,48,False
2019-10-27,32,0,0,40,False
2019-11-03,16,0,0,16,False
2019-11-10,32,0,0,24,False
2019-11-17,31,0,0,24,False
2019-11-24,16,0,16,23,False
2019-12-01,32,0,0,16,False
2019-12-08,16,0,16,16,False
2019-12-15,32,0,16,24,False
2019-12-22,29,38,19,38,False
2019-12-29,75,0,0,19,False
2020-01-05,0,15,0,15,False
2020-01-12,15,0,15,30,False
2020-01-19,38,0,30,23,False
2020-01-26,30,15,0,30,False
2020-02-02,38,15,23,23,False
2020-02-09,46,0,0,31,False
2020-02-16,31,15,0,31,False
2020-02-23,0,0,0,15,False
2020-03-01,15,0,15,29,False
2020-03-08,28,0,0,28,False
2020-03-15,28,0,0,43,False
2020-03-22,0,0,0,14,False
2020-03-29,14,0,0,14,False
2020-04-05,23,0,15,30,False
2020-04-12,15,0,15,29,False
2020-04-19,14,0,14,28,False
2020-04-26,22,0,0,42,False
