date,mariage mer,jardin mariage,mariage chateau_x,mariage palace,ferme mariage ,isPartial_x,mariage chateau_y,restaurant mariage,location salle des fêtes,isPartial_y
2018-01-07,44,0,29,0,0,False,48,16,0,False
2018-01-14,15,0,29,0,0,False,32,32,0,False
2018-01-21,43,0,58,0,0,False,65,32,0,False
2018-01-28,30,15,22,0,0,False,33,16,0,False
2018-02-04,22,15,58,0,0,False,0,16,0,False
2018-02-11,29,14,29,0,0,False,16,0,0,False
2018-02-18,22,0,29,0,0,False,32,16,0,False
2018-02-25,14,14,28,0,0,False,32,32,0,False
2018-03-04,15,0,37,0,0,False,33,16,0,False
2018-03-11,0,15,37,0,0,False,50,33,0,False
2018-03-18,15,15,15,0,0,False,0,0,0,False
2018-03-25,15,15,0,0,0,False,0,33,0,False
2018-04-01,23,23,30,0,0,False,17,0,0,False
2018-04-08,21,0,14,0,0,False,16,31,0,False
2018-04-15,15,15,46,0,0,False,34,34,0,False
2018-04-22,23,0,62,0,0,False,0,17,0,False
2018-04-29,45,15,22,0,0,False,17,17,0,False
2018-05-06,30,0,37,0,0,False,33,0,0,False
2018-05-13,15,22,44,0,0,False,65,49,0,False
2018-05-20,38,0,52,0,0,False,33,17,0,False
2018-05-27,22,0,51,0,0,False,16,33,0,False
2018-06-03,58,0,43,0,0,False,65,16,0,False
2018-06-10,21,21,42,0,0,False,47,0,0,False
2018-06-17,15,30,45,0,0,False,50,0,0,False
2018-06-24,29,15,15,0,0,False,16,0,0,False
2018-07-01,14,0,29,0,0,False,16,16,0,False
2018-07-08,14,0,36,0,0,False,16,0,0,False
2018-07-15,30,15,30,0,0,False,33,16,0,False
2018-07-22,36,14,44,0,0,False,48,32,0,False
2018-07-29,0,14,29,0,0,False,32,16,0,False
2018-08-05,14,0,49,0,0,False,62,16,0,False
2018-08-12,22,14,50,0,0,False,16,0,0,False
2018-08-19,15,0,44,0,0,False,0,65,0,False
2018-08-26,15,15,51,0,0,False,49,16,0,False
2018-09-02,15,0,37,0,0,False,33,33,0,False
2018-09-09,37,0,30,0,0,False,50,50,0,False
2018-09-16,23,0,75,0,0,False,100,0,0,False
2018-09-23,15,0,23,0,0,False,17,17,0,False
2018-09-30,15,15,53,0,0,False,50,17,0,False
2018-10-07,15,0,30,0,0,False,34,17,0,False
2018-10-14,24,16,32,0,0,False,0,0,0,False
2018-10-21,0,0,64,0,0,False,53,18,0,False
2018-10-28,30,0,22,0,0,False,17,17,0,False
2018-11-04,15,0,66,0,0,False,98,16,0,False
2018-11-11,0,15,38,0,0,False,51,17,0,False
2018-11-18,0,15,30,0,0,False,34,17,0,False
2018-11-25,15,0,30,0,0,False,0,0,0,False
2018-12-02,0,0,62,0,0,False,0,17,0,False
2018-12-09,0,0,16,0,0,False,17,0,0,False
2018-12-16,0,16,48,0,0,False,0,18,0,False
2018-12-23,18,0,36,0,0,False,20,40,0,False
2018-12-30,50,0,25,0,0,False,37,18,0,False
2019-01-06,0,0,31,0,0,False,34,17,0,False
2019-01-13,23,15,38,0,0,False,34,34,0,False
2019-01-20,15,0,29,0,0,False,49,33,0,False
2019-01-27,0,0,29,0,0,False,16,16,0,False
2019-02-03,31,0,31,0,0,False,0,17,0,False
2019-02-10,16,16,40,0,0,False,53,18,0,False
2019-02-17,16,0,16,0,0,False,18,18,0,False
2019-02-24,30,15,45,0,0,False,50,84,0,False
2019-03-03,22,30,30,0,0,False,17,50,0,False
