date,hochzeit hotel,hochzeit villa,hochzeit schloss,isPartial
2018-01-07,58,19,29,False
2018-01-14,19,0,48,False
2018-01-21,19,19,39,False
2018-01-28,60,0,20,False
2018-02-04,21,21,42,False
2018-02-11,20,0,51,False
2018-02-18,40,20,100,False
2018-02-25,30,0,30,False
2018-03-04,20,0,30,False
2018-03-11,20,0,39,False
2018-03-18,0,0,40,False
2018-03-25,22,0,33,False
2018-04-01,22,22,22,False
2018-04-08,20,0,20,False
2018-04-15,19,0,29,False
2018-04-22,38,19,48,False
2018-04-29,21,21,31,False
2018-05-06,0,0,53,False
2018-05-13,40,0,60,False
2018-05-20,0,0,52,False
2018-05-27,21,21,52,False
2018-06-03,20,0,20,False
2018-06-10,39,20,29,False
2018-06-17,0,19,49,False
2018-06-24,20,30,59,False
2018-07-01,21,21,21,False
2018-07-08,0,0,43,False
2018-07-15,44,22,56,False
2018-07-22,22,22,67,False
2018-07-29,0,0,0,False
2018-08-05,23,23,0,False
2018-08-12,24,0,47,False
2018-08-19,33,0,0,False
2018-08-26,21,21,32,False
2018-09-02,0,0,31,False
2018-09-09,62,0,31,False
2018-09-16,21,0,42,False
2018-09-23,20,0,20,False
2018-09-30,20,0,49,False
2018-10-07,28,0,19,False
2018-10-14,19,0,47,False
2018-10-21,38,0,38,False
2018-10-28,20,20,20,False
2018-11-04,19,0,19,False
2018-11-11,0,0,28,False
2018-11-18,35,18,53,False
2018-11-25,18,0,36,False
2018-12-02,27,18,18,False
2018-12-09,0,0,18,False
2018-12-16,0,0,37,False
2018-12-23,24,0,47,False
2018-12-30,22,0,22,False
2019-01-06,39,0,59,False
2019-01-13,19,19,29,False
2019-01-20,19,19,38,False
2019-01-27,0,0,0,False
2019-02-03,0,0,31,False
2019-02-10,0,0,20,False
2019-02-17,39,39,20,False
2019-02-24,19,0,49,False
2019-03-03,0,0,19,False
2019-03-10,57,19,75,False
2019-03-17,0,0,20,False
2019-03-24,20,0,30,False
2019-03-31,20,0,40,False
2019-04-07,20,0,0,False
2019-04-14,22,0,43,False
2019-04-21,0,0,43,False
2019-04-28,20,0,30,False
2019-05-05,19,0,28,False
2019-05-12,38,19,0,False
2019-05-19,0,0,38,False
2019-05-26,20,0,39,False
2019-06-02,20,0,20,False
2019-06-09,0,0,21,False
2019-06-16,20,0,41,False
2019-06-23,31,0,20,False
2019-06-30,21,0,42,False
2019-07-07,42,0,42,False
2019-07-14,0,0,67,False
2019-07-21,46,0,35,False
2019-07-28,23,23,23,False
2019-08-04,47,24,59,False
2019-08-11,47,23,47,False
2019-08-18,0,0,43,False
2019-08-25,21,0,63,False
2019-09-01,30,0,39,False
2019-09-08,20,41,61,False
2019-09-15,39,0,48,False
2019-09-22,0,37,28,False
2019-09-29,18,18,36,False
2019-10-06,18,0,45,False
2019-10-13,18,0,36,False
2019-10-20,0,0,18,False
2019-10-27,0,0,56,False
2019-11-03,0,0,18,False
2019-11-10,34,34,34,False
2019-11-17,52,17,17,False
2019-11-24,34,17,34,False
2019-12-01,0,17,0,False
2019-12-08,0,18,17,False
2019-12-15,18,0,36,False
2019-12-22,0,0,34,False
2019-12-29,23,46,46,False
2020-01-05,20,20,50,False
2020-01-12,43,0,26,False
2020-01-19,0,34,43,False
2020-01-26,17,0,17,False
2020-02-02,18,18,18,False
2020-02-09,18,18,36,False
2020-02-16,26,0,77,False
2020-02-23,16,0,33,False
2020-03-01,16,16,81,False
2020-03-08,32,0,0,False
2020-03-15,17,0,0,False
2020-03-22,18,18,36,False
2020-03-29,0,0,18,False
2020-04-05,20,0,30,False
2020-04-12,19,0,38,False
2020-04-19,18,18,18,False
2020-04-26,0,0,53,True
