date,mariage mer,jardin mariage,mariage chateau_x,mariage palace,ferme mariage ,isPartial_x,mariage chateau_y,restaurant mariage,location salle des fêtes,isPartial_y
2018-01-07,38,25,75,0,0,False,75,0,0,False
2018-01-14,25,0,25,0,0,False,25,0,0,False
2018-01-21,25,25,75,0,0,False,75,0,0,False
2018-01-28,25,25,99,0,0,False,99,0,0,False
2018-02-04,50,0,37,0,0,False,37,25,0,False
2018-02-11,25,0,38,0,0,False,38,0,0,False
2018-02-18,25,0,25,0,0,False,25,0,0,False
2018-02-25,25,0,0,0,0,False,0,25,0,False
2018-03-04,38,0,26,0,0,False,26,26,0,False
2018-03-11,0,0,25,0,0,False,25,0,0,False
2018-03-18,0,0,0,0,0,False,0,26,0,False
2018-03-25,26,25,0,0,0,False,0,26,0,False
2018-04-01,25,0,51,0,0,False,51,0,0,False
2018-04-08,0,0,51,0,0,False,51,26,0,False
2018-04-15,0,0,26,0,0,False,26,0,0,False
2018-04-22,25,0,50,0,0,False,50,25,0,False
2018-04-29,40,27,53,0,0,False,53,27,0,False
2018-05-06,27,27,27,0,0,False,27,27,0,False
2018-05-13,26,26,66,0,0,False,66,27,0,False
2018-05-20,0,26,53,0,0,False,53,0,0,False
2018-05-27,38,0,25,0,0,False,25,51,0,False
2018-06-03,0,0,25,0,0,False,25,49,0,False
2018-06-10,37,24,49,0,0,False,49,49,0,False
2018-06-17,0,26,39,0,0,False,39,26,0,False
2018-06-24,26,0,53,0,0,False,53,26,0,False
2018-07-01,50,0,0,0,0,False,0,0,0,False
2018-07-08,0,26,52,0,0,False,52,26,0,False
2018-07-15,27,26,80,0,0,False,80,27,0,False
2018-07-22,53,0,39,0,0,False,39,0,0,False
2018-07-29,25,0,51,0,0,False,51,51,0,False
2018-08-05,0,0,25,0,0,False,25,0,0,False
2018-08-12,25,25,38,0,0,False,38,25,0,False
2018-08-19,0,0,39,0,0,False,39,26,0,False
2018-08-26,25,0,25,0,0,False,25,0,0,False
2018-09-02,26,0,65,0,0,False,65,0,0,False
