date,hochzeit hotel,hochzeit villa,hochzeit schloss,isPartial
2018-01-07,21,21,85,False
2018-01-14,21,0,64,False
2018-01-21,27,11,65,False
2018-01-28,37,0,43,False
2018-02-04,11,11,39,False
2018-02-11,16,11,43,False
2018-02-18,11,21,48,False
2018-02-25,16,11,21,False
2018-03-04,11,0,43,False
2018-03-11,0,0,43,False
2018-03-18,11,0,59,False
2018-03-25,17,11,45,False
2018-04-01,30,12,36,False
2018-04-08,12,0,29,False
2018-04-15,58,0,29,False
2018-04-22,17,11,46,False
2018-04-29,24,12,71,False
2018-05-06,12,12,47,False
2018-05-13,11,11,100,False
2018-05-20,74,0,69,False
2018-05-27,29,12,41,False
2018-06-03,11,0,45,False
2018-06-10,43,27,22,False
2018-06-17,16,11,55,False
2018-06-24,22,22,65,False
2018-07-01,33,11,61,False
2018-07-08,22,17,61,False
2018-07-15,12,0,69,False
2018-07-22,12,12,87,False
2018-07-29,35,0,71,False
2018-08-05,28,0,57,False
2018-08-12,24,12,71,False
2018-08-19,28,23,63,False
2018-08-26,50,11,72,False
2018-09-02,28,0,39,False
2018-09-09,11,0,23,False
2018-09-16,22,11,33,False
2018-09-23,23,0,23,False
2018-09-30,22,22,33,False
2018-10-07,22,11,56,False
2018-10-14,34,11,28,False
2018-10-21,23,0,80,False
2018-10-28,23,0,23,False
2018-11-04,27,0,44,False
2018-11-11,22,11,17,False
2018-11-18,42,11,42,False
2018-11-25,16,0,27,False
2018-12-02,16,0,22,False
2018-12-09,16,0,33,False
2018-12-16,11,0,17,False
2018-12-23,25,0,32,False
2018-12-30,33,11,33,False
2019-01-06,30,0,51,False
2019-01-13,35,10,51,False
2019-01-20,10,10,25,False
2019-01-27,31,15,15,False
2019-02-03,41,10,52,False
2019-02-10,21,0,31,False
2019-02-17,36,21,72,False
2019-02-24,20,10,61,False
2019-03-03,25,0,51,False
2019-03-10,50,10,35,False
2019-03-17,16,0,37,False
2019-03-24,26,0,52,False
2019-03-31,32,0,16,False
2019-04-07,10,0,37,False
2019-04-14,23,12,35,False
2019-04-21,11,0,22,False
2019-04-28,21,11,42,False
2019-05-05,10,15,46,False
2019-05-12,20,0,36,False
2019-05-19,31,0,57,False
2019-05-26,10,0,52,False
2019-06-02,0,11,54,False
2019-06-09,16,22,77,False
2019-06-16,27,0,48,False
2019-06-23,16,21,60,False
2019-06-30,32,22,48,False
2019-07-07,21,10,57,False
2019-07-14,55,11,33,False
2019-07-21,28,11,85,False
2019-07-28,27,0,22,False
2019-08-04,46,23,46,False
2019-08-11,22,0,56,False
2019-08-18,37,11,47,False
2019-08-25,27,0,64,False
2019-09-01,15,10,72,False
2019-09-08,21,0,16,False
2019-09-15,32,0,58,False
2019-09-22,20,0,67,False
2019-09-29,39,10,45,False
2019-10-06,30,0,40,False
2019-10-13,20,30,30,False
2019-10-20,10,10,20,False
2019-10-27,15,20,77,False
2019-11-03,10,10,10,False
2019-11-10,38,0,14,False
2019-11-17,15,10,39,False
2019-11-24,15,10,39,False
2019-12-01,10,10,20,False
2019-12-08,20,0,20,False
2019-12-15,30,0,20,False
2019-12-22,17,11,28,False
2019-12-29,0,10,56,False
2020-01-05,33,19,38,False
2020-01-12,13,0,58,False
2020-01-19,32,0,50,False
2020-01-26,22,9,22,False
2020-02-02,23,9,36,False
2020-02-09,18,9,14,False
2020-02-16,27,9,45,False
2020-02-23,21,9,34,False
2020-03-01,9,0,39,False
2020-03-08,8,8,17,False
2020-03-15,17,0,17,False
2020-03-22,8,8,17,False
2020-03-29,0,8,8,False
2020-04-05,9,0,28,False
2020-04-12,22,18,18,False
2020-04-19,26,9,17,False
2020-04-26,10,0,19,True
