date,matrimonio ristorante,matrimonio cascina,matrimonio borgo,matrimonio villa,matrimonio castello,isPartial
2018-01-07,20,13,0,46,13,False
2018-01-14,19,13,26,55,16,False
2018-01-21,32,13,6,38,10,False
2018-01-28,35,13,0,54,13,False
2018-02-04,31,19,0,35,16,False
2018-02-11,22,6,0,51,22,False
2018-02-18,22,12,9,56,12,False
2018-02-25,21,9,6,52,18,False
2018-03-04,24,12,6,53,9,False
2018-03-11,21,9,6,24,12,False
2018-03-18,18,19,6,65,24,False
2018-03-25,19,6,6,29,6,False
2018-04-01,17,13,0,43,17,False
2018-04-08,9,12,6,27,12,False
2018-04-15,16,9,6,41,16,False
2018-04-22,26,7,7,52,13,False
2018-04-29,25,19,6,67,19,False
2018-05-06,15,6,12,55,28,False
2018-05-13,30,21,6,54,48,False
2018-05-20,27,21,18,91,30,False
2018-05-27,34,9,6,65,15,False
2018-06-03,31,19,9,50,13,False
2018-06-10,21,18,18,61,18,False
2018-06-17,16,13,6,57,13,False
2018-06-24,16,6,6,77,32,False
2018-07-01,19,16,12,59,22,False
2018-07-08,38,10,10,67,25,False
2018-07-15,10,13,0,75,36,False
2018-07-22,30,0,7,66,26,False
2018-07-29,14,21,7,48,27,False
2018-08-05,37,19,0,49,7,False
2018-08-12,0,17,0,38,13,False
2018-08-19,25,16,12,74,29,False
2018-08-26,27,7,7,77,27,False
2018-09-02,30,24,12,79,36,False
2018-09-09,36,18,6,66,30,False
2018-09-16,32,9,0,82,15,False
2018-09-23,27,18,6,60,9,False
2018-09-30,24,18,12,60,18,False
2018-10-07,18,15,0,45,30,False
2018-10-14,12,18,0,61,36,False
2018-10-21,15,12,0,39,24,False
2018-10-28,15,12,0,39,15,False
2018-11-04,14,6,6,31,6,False
2018-11-11,6,12,0,26,24,False
2018-11-18,17,12,6,23,12,False
2018-11-25,0,18,0,36,30,False
2018-12-02,36,6,6,33,9,False
2018-12-09,9,0,0,21,12,False
2018-12-16,6,12,0,36,12,False
2018-12-23,29,0,7,29,25,False
2018-12-30,18,14,7,42,21,False
2019-01-06,9,6,6,52,18,False
2019-01-13,12,9,0,57,12,False
2019-01-20,26,6,0,46,6,False
2019-01-27,23,6,0,48,34,False
2019-02-03,12,6,6,61,6,False
2019-02-10,26,9,17,49,29,False
2019-02-17,15,6,6,30,12,False
2019-02-24,12,15,6,57,9,False
2019-03-03,18,12,0,45,9,False
2019-03-10,15,12,12,45,12,False
2019-03-17,24,6,0,61,9,False
2019-03-24,16,22,0,41,19,False
2019-03-31,9,6,12,40,19,False
2019-04-07,24,12,0,48,12,False
2019-04-14,19,6,9,41,22,False
2019-04-21,34,0,7,55,31,False
2019-04-28,34,13,6,69,34,False
2019-05-05,30,12,9,69,18,False
2019-05-12,18,21,0,59,15,False
2019-05-19,32,17,0,55,17,False
2019-05-26,26,6,6,37,17,False
2019-06-02,24,6,12,52,18,False
2019-06-09,24,6,6,61,18,False
2019-06-16,24,18,6,73,21,False
2019-06-23,13,6,6,63,22,False
2019-06-30,31,6,6,50,31,False
2019-07-07,25,12,12,49,12,False
2019-07-14,25,10,10,73,13,False
2019-07-21,23,13,7,40,13,False
2019-07-28,23,17,7,54,17,False
2019-08-04,26,15,11,22,15,False
2019-08-11,16,0,8,49,33,False
2019-08-18,23,11,8,38,15,False
2019-08-25,33,13,0,43,40,False
2019-09-01,29,26,0,75,35,False
2019-09-08,21,35,6,91,32,False
2019-09-15,26,17,14,100,46,False
2019-09-22,34,14,9,60,20,False
2019-09-29,17,6,14,68,17,False
2019-10-06,23,14,0,26,23,False
2019-10-13,20,8,0,34,14,False
2019-10-20,24,11,5,38,19,False
2019-10-27,22,6,6,28,17,False
2019-11-03,16,11,0,30,11,False
2019-11-10,5,5,5,36,14,False
2019-11-17,19,8,5,32,11,False
2019-11-24,13,5,0,29,13,False
2019-12-01,11,6,8,11,22,False
2019-12-08,11,0,0,20,17,False
2019-12-15,6,6,0,23,11,False
2019-12-22,7,0,7,34,10,False
2019-12-29,39,16,7,43,26,False
2020-01-05,14,8,6,47,14,False
2020-01-12,26,21,5,49,10,False
2020-01-19,24,11,5,42,21,False
2020-01-26,18,16,0,29,10,False
2020-02-02,18,10,5,28,15,False
2020-02-09,21,5,5,37,8,False
2020-02-16,11,5,5,42,21,False
2020-02-23,7,10,10,20,20,False
2020-03-01,17,5,0,25,15,False
2020-03-08,5,5,0,10,10,False
2020-03-15,5,0,0,18,10,False
2020-03-22,0,5,0,7,0,False
2020-03-29,10,0,5,19,0,False
2020-04-05,5,0,5,15,5,False
2020-04-12,15,0,5,18,26,False
2020-04-19,5,5,0,22,19,False
2020-04-26,10,5,5,19,19,False
2020-05-03,8,5,10,25,10,False
2020-05-10,0,0,11,11,11,True
