date,rénovation appartement,isPartial
2018-01-07,21,False
2018-01-14,41,False
2018-01-21,28,False
2018-01-28,42,False
2018-02-04,48,False
2018-02-11,56,False
2018-02-18,32,False
2018-02-25,63,False
2018-03-04,42,False
2018-03-11,42,False
2018-03-18,32,False
2018-03-25,64,False
2018-04-01,86,False
2018-04-08,64,False
2018-04-15,46,False
2018-04-22,80,False
2018-04-29,43,False
2018-05-06,60,False
2018-05-13,35,False
2018-05-20,51,False
2018-05-27,63,False
2018-06-03,77,False
2018-06-10,27,False
2018-06-17,57,False
2018-06-24,36,False
2018-07-01,28,False
2018-07-08,54,False
2018-07-15,58,False
2018-07-22,46,False
2018-07-29,54,False
2018-08-05,54,False
2018-08-12,24,False
2018-08-19,46,False
2018-08-26,59,False
2018-09-02,65,False
2018-09-09,65,False
2018-09-16,32,False
2018-09-23,51,False
2018-09-30,29,False
2018-10-07,32,False
2018-10-14,58,False
2018-10-21,58,False
2018-10-28,33,False
2018-11-04,70,False
2018-11-11,63,False
2018-11-18,35,False
2018-11-25,42,False
2018-12-02,56,False
2018-12-09,32,False
2018-12-16,76,False
2018-12-23,49,False
2018-12-30,85,False
2019-01-06,42,False
2019-01-13,56,False
2019-01-20,93,False
2019-01-27,40,False
2019-02-03,30,False
2019-02-10,50,False
2019-02-17,58,False
2019-02-24,100,False
2019-03-03,34,False
2019-03-10,42,False
2019-03-17,33,False
2019-03-24,51,False
2019-03-31,70,False
2019-04-07,50,False
2019-04-14,22,False
2019-04-21,54,False
2019-04-28,56,False
2019-05-05,48,False
2019-05-12,62,False
2019-05-19,51,False
2019-05-26,56,False
2019-06-02,33,False
2019-06-09,54,False
2019-06-16,42,False
2019-06-23,41,False
2019-06-30,69,False
2019-07-07,83,False
2019-07-14,43,False
2019-07-21,44,False
2019-07-28,67,False
2019-08-04,52,False
2019-08-11,33,False
2019-08-18,52,False
2019-08-25,42,False
2019-09-01,74,False
2019-09-08,60,False
2019-09-15,40,False
2019-09-22,39,False
2019-09-29,84,False
2019-10-06,39,False
2019-10-13,65,False
2019-10-20,46,False
2019-10-27,58,False
2019-11-03,69,False
2019-11-10,57,False
2019-11-17,51,False
2019-11-24,43,False
2019-12-01,50,False
2019-12-08,47,False
2019-12-15,44,False
2019-12-22,32,False
2019-12-29,47,False
2020-01-05,74,False
2020-01-12,66,False
2020-01-19,43,False
2020-01-26,48,False
2020-02-02,80,False
2020-02-09,67,False
2020-02-16,74,False
2020-02-23,60,False
2020-03-01,41,False
2020-03-08,41,False
2020-03-15,44,False
2020-03-22,43,False
2020-03-29,38,False
2020-04-05,33,False
2020-04-12,34,False
2020-04-19,38,False
2020-04-26,46,False
2020-05-03,73,False
2020-05-10,71,False
2020-05-17,82,False
2020-05-24,51,False
2020-05-31,97,False
2020-06-07,82,False
2020-06-14,63,False
2020-06-21,0,True
