geoName,geoCode,Elektroinstallationen
Burgenland,AT-1,0
Carinthia,AT-2,0
Lower Austria,AT-3,54
Salzburg,AT-5,0
Styria,AT-6,0
Tyrol,AT-7,100
Upper Austria,AT-4,0
Vienna,AT-9,43
Vorarlberg,AT-8,0
