geoName,geoCode,Zimmerer
Burgenland,AT-1,87
Carinthia,AT-2,31
Lower Austria,AT-3,100
Salzburg,AT-5,53
Styria,AT-6,24
Tyrol,AT-7,62
Upper Austria,AT-4,34
Vienna,AT-9,33
Vorarlberg,AT-8,60
