geoName,geoCode,Alarmanlage
Burgenland,AT-1,100
Carinthia,AT-2,48
Lower Austria,AT-3,51
Salzburg,AT-5,18
Styria,AT-6,51
Tyrol,AT-7,18
Upper Austria,AT-4,36
Vienna,AT-9,41
Vorarlberg,AT-8,28
