geoName,geoCode,Styropor entsorgen
Baden-Württemberg,DE-BW,47
Bavaria,DE-BY,40
Berlin,DE-BE,64
Brandenburg,DE-BB,64
Bremen,DE-HB,0
Hamburg,DE-HH,100
Hesse,DE-HE,29
Lower Saxony,DE-NI,25
Mecklenburg-Vorpommern,DE-MV,91
North Rhine-Westphalia,DE-NW,73
Rhineland-Palatinate,DE-RP,50
Saarland,DE-SL,0
Saxony,DE-SN,85
Saxony-Anhalt,DE-ST,67
Schleswig-Holstein,DE-SH,40
Thuringia,DE-TH,78
