date,Herren Hochzeitsanzug,isPartial
2018-01-07,33,False
2018-01-14,32,False
2018-01-21,53,False
2018-01-28,20,False
2018-02-04,40,False
2018-02-11,54,False
2018-02-18,34,False
2018-02-25,100,False
2018-03-04,33,False
2018-03-11,40,False
2018-03-18,73,False
2018-03-25,72,False
2018-04-01,50,False
2018-04-08,62,False
2018-04-15,70,False
2018-04-22,34,False
2018-04-29,56,False
2018-05-06,35,False
2018-05-13,26,False
2018-05-20,43,False
2018-05-27,14,False
2018-06-03,14,False
2018-06-10,13,False
2018-06-17,33,False
2018-06-24,14,False
2018-07-01,27,False
2018-07-08,47,False
2018-07-15,28,False
2018-07-22,55,False
2018-07-29,49,False
2018-08-05,41,False
2018-08-12,28,False
2018-08-19,28,False
2018-08-26,21,False
2018-09-02,14,False
2018-09-09,27,False
2018-09-16,20,False
2018-09-23,34,False
2018-09-30,27,False
2018-10-07,27,False
2018-10-14,27,False
2018-10-21,13,False
2018-10-28,26,False
2018-11-04,38,False
2018-11-11,39,False
2018-11-18,95,False
2018-11-25,52,False
2018-12-02,26,False
2018-12-09,13,False
2018-12-16,34,False
2018-12-23,62,False
2018-12-30,69,False
2019-01-06,44,False
2019-01-13,31,False
2019-01-20,37,False
2019-01-27,30,False
2019-02-03,19,False
2019-02-10,19,False
2019-02-17,32,False
2019-02-24,33,False
2019-03-03,63,False
2019-03-10,62,False
2019-03-17,46,False
2019-03-24,59,False
2019-03-31,52,False
2019-04-07,32,False
2019-04-14,42,False
2019-04-21,54,False
2019-04-28,57,False
2019-05-05,25,False
2019-05-12,26,False
2019-05-19,32,False
2019-05-26,19,False
2019-06-02,38,False
2019-06-09,33,False
2019-06-16,52,False
2019-06-23,46,False
2019-06-30,58,False
2019-07-07,57,False
2019-07-14,13,False
2019-07-21,14,False
2019-07-28,34,False
2019-08-04,54,False
2019-08-11,19,False
2019-08-18,39,False
2019-08-25,13,False
2019-09-01,25,False
2019-09-08,83,False
2019-09-15,32,False
2019-09-22,19,False
2019-09-29,19,False
2019-10-06,37,False
2019-10-13,37,False
2019-10-20,67,False
2019-10-27,60,False
2019-11-03,29,False
2019-11-10,42,False
2019-11-17,18,False
2019-11-24,12,False
2019-12-01,30,False
2019-12-08,12,False
2019-12-15,24,False
2019-12-22,42,False
2019-12-29,45,False
2020-01-05,57,False
2020-01-12,39,False
2020-01-19,97,False
2020-01-26,68,False
2020-02-02,22,False
2020-02-09,11,False
2020-02-16,29,False
2020-02-23,78,False
2020-03-01,77,False
2020-03-08,31,False
2020-03-15,31,False
2020-03-22,41,False
2020-03-29,10,False
2020-04-05,34,False
2020-04-12,0,True
