geoName,geoCode,console
Abruzzo,IT-65,67
Aosta,IT-23,100
Apulia,IT-75,81
Basilicata,IT-77,72
Calabria,IT-78,64
Campania,IT-72,79
Emilia-Romagna,IT-45,87
Friuli-Venezia Giulia,IT-36,60
Lazio,IT-62,84
Liguria,IT-42,82
Lombardy,IT-25,88
Marche,IT-57,95
Molise,IT-67,77
Piedmont,IT-21,80
Sardinia,IT-88,73
Sicily,IT-82,84
Trentino-Alto Adige/South Tyrol,IT-32,93
Tuscany,IT-52,81
Umbria,IT-55,73
Veneto,IT-34,91
