geoName,geoCode,Gartenplaner
Burgenland,AT-1,100
Carinthia,AT-2,81
Lower Austria,AT-3,59
Salzburg,AT-5,23
Styria,AT-6,42
Tyrol,AT-7,46
Upper Austria,AT-4,59
Vienna,AT-9,41
Vorarlberg,AT-8,0
