date,scatole per bomboniere,isPartial
2018-01-07,44,False
2018-01-14,37,False
2018-01-21,61,False
2018-01-28,24,False
2018-02-04,18,False
2018-02-11,42,False
2018-02-18,83,False
2018-02-25,58,False
2018-03-04,100,False
2018-03-11,18,False
2018-03-18,84,False
2018-03-25,51,False
2018-04-01,85,False
2018-04-08,42,False
2018-04-15,74,False
2018-04-22,64,False
2018-04-29,68,False
2018-05-06,42,False
2018-05-13,43,False
2018-05-20,49,False
2018-05-27,37,False
2018-06-03,12,False
2018-06-10,35,False
2018-06-17,12,False
2018-06-24,31,False
2018-07-01,24,False
2018-07-08,18,False
2018-07-15,37,False
2018-07-22,49,False
2018-07-29,50,False
2018-08-05,26,False
2018-08-12,35,False
2018-08-19,40,False
2018-08-26,25,False
2018-09-02,42,False
2018-09-09,48,False
2018-09-16,23,False
2018-09-23,24,False
2018-09-30,30,False
2018-10-07,49,False
2018-10-14,50,False
2018-10-21,30,False
2018-10-28,12,False
2018-11-04,35,False
2018-11-11,37,False
2018-11-18,12,False
2018-11-25,36,False
2018-12-02,18,False
2018-12-09,37,False
2018-12-16,26,False
2018-12-23,0,False
2018-12-30,26,False
2019-01-06,31,False
2019-01-13,36,False
2019-01-20,34,False
2019-01-27,28,False
2019-02-03,29,False
2019-02-10,58,False
2019-02-17,53,False
2019-02-24,64,False
2019-03-03,31,False
2019-03-10,42,False
2019-03-17,74,False
2019-03-24,61,False
2019-03-31,84,False
2019-04-07,59,False
2019-04-14,31,False
2019-04-21,52,False
2019-04-28,30,False
2019-05-05,41,False
2019-05-12,70,False
2019-05-19,52,False
2019-05-26,22,False
2019-06-02,48,False
2019-06-09,24,False
2019-06-16,24,False
2019-06-23,19,False
2019-06-30,25,False
2019-07-07,23,False
2019-07-14,49,False
2019-07-21,12,False
2019-07-28,13,False
2019-08-04,26,False
2019-08-11,14,False
2019-08-18,38,False
2019-08-25,35,False
2019-09-01,33,False
2019-09-08,29,False
2019-09-15,39,False
2019-09-22,44,False
2019-09-29,28,False
2019-10-06,11,False
2019-10-13,34,False
2019-10-20,22,False
2019-10-27,28,False
2019-11-03,21,False
2019-11-10,11,False
2019-11-17,22,False
2019-11-24,22,False
2019-12-01,39,False
2019-12-08,17,False
2019-12-15,28,False
2019-12-22,13,False
2019-12-29,31,False
2020-01-05,22,False
2020-01-12,47,False
2020-01-19,37,False
2020-01-26,36,False
2020-02-02,52,False
2020-02-09,37,False
2020-02-16,26,False
2020-02-23,45,False
2020-03-01,30,False
2020-03-08,29,False
2020-03-15,19,False
2020-03-22,0,False
2020-03-29,9,False
2020-04-05,10,False
2020-04-12,10,False
2020-04-19,9,False
2020-04-26,16,True
