geoName,geoCode,piscine couverte
Brittany,FR-E,62.0
Centre-Val de Loire,FR-F,42.0
Corsica,FR-H,0.0
Pays de la Loire,FR-R,100.0
Provence-Alpes-Côte d'Azur,FR-U,18.0
Île-de-France,FR-J,26.0
Grand-est,FR-GE,30.666666666666668
Hauts-de-france,FR-HF,61.0
Normandie,FR-NO,78.0
Bourgogne-Franche-Comté,FR-BFC,40.0
Nouvelle-Aquitaine,FR-NA,48.0
Occitanie,FR-OC,28.5
Auvergne-Rhône-Alpes,FR-AR,35.0
