date,piscine couverte
2018-01-07,0.405
2018-01-14,0.49
2018-01-21,0.29
2018-01-28,0.275
2018-02-04,0.365
2018-02-11,0.38
2018-02-18,0.61
2018-02-25,0.22
2018-03-04,0.52
2018-03-11,0.385
2018-03-18,0.355
2018-03-25,0.45
2018-04-01,0.48
2018-04-08,0.285
2018-04-15,0.515
2018-04-22,0.56
2018-04-29,0.47
2018-05-06,0.485
2018-05-13,0.29
2018-05-20,0.34
2018-05-27,0.105
2018-06-03,0.39
2018-06-10,0.365
2018-06-17,0.31
2018-06-24,0.295
2018-07-01,0.225
2018-07-08,0.33
2018-07-15,0.25
2018-07-22,0.37
2018-07-29,0.32
2018-08-05,0.3
2018-08-12,0.355
2018-08-19,0.525
2018-08-26,0.27
2018-09-02,0.29
2018-09-09,0.235
2018-09-16,0.34
2018-09-23,0.17
2018-09-30,0.35
2018-10-07,0.46
2018-10-14,0.36
2018-10-21,0.275
2018-10-28,0.565
2018-11-04,0.0
2018-11-11,0.24
2018-11-18,0.225
2018-11-25,0.22
2018-12-02,0.0
2018-12-09,0.23
2018-12-16,0.11
2018-12-23,0.245
2018-12-30,0.235
2019-01-06,0.305
2019-01-13,0.5
2019-01-20,0.335
2019-01-27,0.35
2019-02-03,0.385
2019-02-10,0.46
2019-02-17,0.465
2019-02-24,0.34
2019-03-03,0.39
2019-03-10,0.42
2019-03-17,0.295
2019-03-24,0.495
2019-03-31,0.34
2019-04-07,0.48
2019-04-14,0.58
2019-04-21,0.5
2019-04-28,0.215
2019-05-05,0.255
2019-05-12,0.23
2019-05-19,0.275
2019-05-26,0.365
2019-06-02,0.31
2019-06-09,0.21
2019-06-16,0.115
2019-06-23,0.145
2019-06-30,0.225
2019-07-07,0.3
2019-07-14,0.115
2019-07-21,0.405
2019-07-28,0.33
2019-08-04,0.44
2019-08-11,0.21
2019-08-18,0.47
2019-08-25,0.29
2019-09-01,0.285
2019-09-08,0.11
2019-09-15,0.11
2019-09-22,0.265
2019-09-29,0.365
2019-10-06,0.11
2019-10-13,0.245
2019-10-20,0.325
2019-10-27,0.39
2019-11-03,0.105
2019-11-10,0.195
2019-11-17,0.285
2019-11-24,0.24
2019-12-01,0.19
2019-12-08,0.2
2019-12-15,0.095
2019-12-22,0.165
2019-12-29,0.47
2020-01-05,0.485
2020-01-12,0.415
2020-01-19,0.245
2020-01-26,0.33
2020-02-02,0.235
2020-02-09,0.28
2020-02-16,0.335
2020-02-23,0.19
2020-03-01,0.255
2020-03-08,0.185
2020-03-15,0.0
2020-03-22,0.08
2020-03-29,0.155
2020-04-05,0.16
2020-04-12,0.285
2020-04-19,0.19
2020-04-26,0.07
2020-05-03,0.19
2020-05-10,0.24
2020-05-17,0.36
2020-05-24,0.225
2020-05-31,0.37
2020-06-07,0.205
2020-06-14,0.255
2020-06-21,1.0
