geoName,geoCode,piscine en bois
Brittany,FR-E,41.05263157894737
Centre-Val de Loire,FR-F,83.15789473684211
Corsica,FR-H,93.6842105263158
Pays de la Loire,FR-R,83.15789473684211
Provence-Alpes-Côte d'Azur,FR-U,72.63157894736842
Île-de-France,FR-J,34.73684210526316
Grand-est,FR-GE,85.26315789473684
Hauts-de-france,FR-HF,75.78947368421053
Normandie,FR-NO,63.1578947368421
Bourgogne-Franche-Comté,FR-BFC,100.0
Nouvelle-Aquitaine,FR-NA,85.96491228070175
Occitanie,FR-OC,84.73684210526315
Auvergne-Rhône-Alpes,FR-AR,86.8421052631579
