geoName,geoCode,pasticcere
Abruzzo,IT-65,76
Aosta,IT-23,78
Apulia,IT-75,93
Basilicata,IT-77,85
Calabria,IT-78,78
Campania,IT-72,68
Emilia-Romagna,IT-45,89
Friuli-Venezia Giulia,IT-36,100
Lazio,IT-62,81
Liguria,IT-42,83
Lombardy,IT-25,72
Marche,IT-57,66
Molise,IT-67,61
Piedmont,IT-21,79
Sardinia,IT-88,71
Sicily,IT-82,61
Trentino-Alto Adige/South Tyrol,IT-32,44
Tuscany,IT-52,64
Umbria,IT-55,47
Veneto,IT-34,52
