geoName,geoCode,Gipser
Baden-Württemberg,DE-BW,100
Bavaria,DE-BY,6
Berlin,DE-BE,4
Brandenburg,DE-BB,19
Bremen,DE-HB,0
Hamburg,DE-HH,8
Hesse,DE-HE,6
Lower Saxony,DE-NI,4
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,7
Rhineland-Palatinate,DE-RP,29
Saarland,DE-SL,21
Saxony,DE-SN,8
Saxony-Anhalt,DE-ST,19
Schleswig-Holstein,DE-SH,10
Thuringia,DE-TH,23
