geoName,geoCode,nozze
Abruzzo,IT-65,97
Aosta,IT-23,81
Apulia,IT-75,89
Basilicata,IT-77,74
Calabria,IT-78,79
Campania,IT-72,84
Emilia-Romagna,IT-45,79
Friuli-Venezia Giulia,IT-36,74
Lazio,IT-62,83
Liguria,IT-42,81
Lombardy,IT-25,81
Marche,IT-57,88
Molise,IT-67,100
Piedmont,IT-21,85
Sardinia,IT-88,91
Sicily,IT-82,96
Trentino-Alto Adige/South Tyrol,IT-32,52
Tuscany,IT-52,80
Umbria,IT-55,96
Veneto,IT-34,74
