geoName,geoCode,Sanitärtechnik
Baden-Württemberg,DE-BW,14
Bavaria,DE-BY,11
Berlin,DE-BE,17
Brandenburg,DE-BB,18
Bremen,DE-HB,0
Hamburg,DE-HH,100
Hesse,DE-HE,10
Lower Saxony,DE-NI,17
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,8
Rhineland-Palatinate,DE-RP,9
Saarland,DE-SL,0
Saxony,DE-SN,14
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,53
Thuringia,DE-TH,20
