geoName,geoCode,Mudanza
Andalusia,ES-AN,63
Aragon,ES-AR,57
Asturias,ES-AS,69
Balearic Islands,ES-IB,81
Basque Country,ES-PV,49
Canary Islands,ES-CN,57
Cantabria,ES-CB,62
Castile and León,ES-CL,66
Castile-La Mancha,ES-CM,63
Catalonia,ES-CT,69
Ceuta,ES-CE,0
Community of Madrid,ES-MD,100
Extremadura,ES-EX,45
Galicia,ES-GA,41
La Rioja,ES-RI,33
Melilla,ES-ML,0
Navarre,ES-NC,43
Region of Murcia,ES-MC,45
Valencian Community,ES-VC,61
