geoName,geoCode,Heizungstechnik
Baden-Württemberg,DE-BW,65
Bavaria,DE-BY,47
Berlin,DE-BE,26
Brandenburg,DE-BB,73
Bremen,DE-HB,0
Hamburg,DE-HH,66
Hesse,DE-HE,62
Lower Saxony,DE-NI,59
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,41
Rhineland-Palatinate,DE-RP,100
Saarland,DE-SL,0
Saxony,DE-SN,55
Saxony-Anhalt,DE-ST,34
Schleswig-Holstein,DE-SH,60
Thuringia,DE-TH,56
