date,boda civil,boda religiosa,isPartial
2018-01-07,25,10,False
2018-01-14,100,20,False
2018-01-21,50,0,False
2018-01-28,54,0,False
2018-02-04,49,10,False
2018-02-11,25,10,False
2018-02-18,60,10,False
2018-02-25,49,10,False
2018-03-04,49,15,False
2018-03-11,72,10,False
2018-03-18,46,0,False
2018-03-25,39,0,False
2018-04-01,40,0,False
2018-04-08,38,10,False
2018-04-15,53,15,False
2018-04-22,59,20,False
2018-04-29,39,22,False
2018-05-06,34,19,False
2018-05-13,56,10,False
2018-05-20,54,15,False
2018-05-27,39,14,False
2018-06-03,82,0,False
2018-06-10,82,0,False
2018-06-17,52,10,False
2018-06-24,21,0,False
2018-07-01,33,27,False
2018-07-08,44,11,False
2018-07-15,53,0,False
2018-07-22,80,0,False
2018-07-29,63,0,False
2018-08-05,54,14,False
2018-08-12,73,0,False
2018-08-19,47,0,False
2018-08-26,83,35,False
2018-09-02,47,0,False
2018-09-09,25,40,False
2018-09-16,73,10,False
2018-09-23,57,19,False
2018-09-30,44,10,False
2018-10-07,71,10,False
2018-10-14,34,10,False
2018-10-21,29,10,False
2018-10-28,20,10,False
2018-11-04,39,0,False
2018-11-11,59,9,False
2018-11-18,59,14,False
2018-11-25,44,9,False
2018-12-02,52,9,False
2018-12-09,49,0,False
2018-12-16,15,0,False
2018-12-23,48,12,False
2018-12-30,73,10,False
2019-01-06,40,0,False
2019-01-13,28,9,False
2019-01-20,57,9,False
2019-01-27,45,0,False
2019-02-03,56,28,False
2019-02-10,37,9,False
2019-02-17,48,9,False
2019-02-24,34,8,False
2019-03-03,48,0,False
2019-03-10,24,0,False
2019-03-17,29,10,False
2019-03-24,48,0,False
2019-03-31,42,9,False
2019-04-07,42,12,False
2019-04-14,48,12,False
2019-04-21,47,19,False
2019-04-28,30,10,False
2019-05-05,55,8,False
2019-05-12,61,0,False
2019-05-19,51,9,False
2019-05-26,32,9,False
2019-06-02,45,9,False
2019-06-09,40,9,False
2019-06-16,48,0,False
2019-06-23,45,0,False
2019-06-30,66,20,False
2019-07-07,43,29,False
2019-07-14,54,0,False
2019-07-21,48,0,False
2019-07-28,30,0,False
2019-08-04,40,13,False
2019-08-11,28,0,False
2019-08-18,39,13,False
2019-08-25,45,11,False
2019-09-01,41,9,False
2019-09-08,96,0,False
2019-09-15,35,0,False
2019-09-22,54,9,False
2019-09-29,71,9,False
2019-10-06,26,0,False
2019-10-13,26,9,False
2019-10-20,47,9,False
2019-10-27,49,9,False
2019-11-03,21,0,False
2019-11-10,42,0,False
2019-11-17,17,0,False
2019-11-24,40,0,False
2019-12-01,67,9,False
2019-12-08,18,9,False
2019-12-15,30,9,False
2019-12-22,21,0,False
2019-12-29,36,10,False
2020-01-05,13,0,False
2020-01-12,40,8,False
2020-01-19,24,0,False
2020-01-26,20,8,False
2020-02-02,33,8,False
2020-02-09,41,0,False
2020-02-16,33,8,False
2020-02-23,28,0,False
2020-03-01,67,0,False
2020-03-08,23,12,False
2020-03-15,24,0,False
2020-03-22,16,0,False
2020-03-29,8,16,False
2020-04-05,21,16,False
2020-04-12,12,0,False
2020-04-19,23,0,False
2020-04-26,23,0,False
