date,boda civil,boda religiosa,isPartial
2018-01-07,71,9,False
2018-01-14,75,7,False
2018-01-21,86,3,False
2018-01-28,95,7,False
2018-02-04,82,14,False
2018-02-11,77,9,False
2018-02-18,84,3,False
2018-02-25,72,7,False
2018-03-04,61,15,False
2018-03-11,71,7,False
2018-03-18,62,5,False
2018-03-25,61,4,False
2018-04-01,70,7,False
2018-04-08,85,0,False
2018-04-15,77,9,False
2018-04-22,85,15,False
2018-04-29,63,5,False
2018-05-06,65,13,False
2018-05-13,66,7,False
2018-05-20,76,10,False
2018-05-27,66,17,False
2018-06-03,81,10,False
2018-06-10,96,13,False
2018-06-17,82,21,False
2018-06-24,60,4,False
2018-07-01,61,7,False
2018-07-08,78,5,False
2018-07-15,69,11,False
2018-07-22,83,7,False
2018-07-29,64,4,False
2018-08-05,53,7,False
2018-08-12,80,6,False
2018-08-19,76,15,False
2018-08-26,99,9,False
2018-09-02,73,3,False
2018-09-09,75,10,False
2018-09-16,74,3,False
2018-09-23,74,10,False
2018-09-30,82,5,False
2018-10-07,97,14,False
2018-10-14,80,3,False
2018-10-21,74,3,False
2018-10-28,46,5,False
2018-11-04,47,3,False
2018-11-11,51,7,False
2018-11-18,39,3,False
2018-11-25,48,3,False
2018-12-02,73,4,False
2018-12-09,42,3,False
2018-12-16,38,9,False
2018-12-23,38,12,False
2018-12-30,49,6,False
2019-01-06,64,5,False
2019-01-13,74,10,False
2019-01-20,45,6,False
2019-01-27,65,6,False
2019-02-03,81,10,False
2019-02-10,95,3,False
2019-02-17,66,7,False
2019-02-24,73,7,False
2019-03-03,68,10,False
2019-03-10,43,3,False
2019-03-17,64,10,False
2019-03-24,80,8,False
2019-03-31,52,6,False
2019-04-07,57,13,False
2019-04-14,64,7,False
2019-04-21,63,7,False
2019-04-28,61,8,False
2019-05-05,76,6,False
2019-05-12,68,10,False
2019-05-19,45,8,False
2019-05-26,61,0,False
2019-06-02,89,8,False
2019-06-09,80,6,False
2019-06-16,80,10,False
2019-06-23,70,9,False
2019-06-30,100,29,False
2019-07-07,60,17,False
2019-07-14,64,5,False
2019-07-21,83,10,False
2019-07-28,59,4,False
2019-08-04,41,11,False
2019-08-11,50,4,False
2019-08-18,82,7,False
2019-08-25,75,10,False
2019-09-01,66,11,False
2019-09-08,72,3,False
2019-09-15,72,3,False
2019-09-22,79,8,False
2019-09-29,82,6,False
2019-10-06,71,6,False
2019-10-13,62,9,False
2019-10-20,92,7,False
2019-10-27,50,15,False
2019-11-03,53,9,False
2019-11-10,61,3,False
2019-11-17,45,4,False
2019-11-24,42,6,False
2019-12-01,47,3,False
2019-12-08,44,6,False
2019-12-15,45,6,False
2019-12-22,37,7,False
2019-12-29,65,5,False
2020-01-05,56,6,False
2020-01-12,82,6,False
2020-01-19,57,4,False
2020-01-26,55,7,False
2020-02-02,73,7,False
2020-02-09,59,3,False
2020-02-16,77,3,False
2020-02-23,62,8,False
2020-03-01,73,8,False
2020-03-08,42,7,False
2020-03-15,11,3,False
2020-03-22,16,5,False
2020-03-29,17,6,False
2020-04-05,20,3,False
2020-04-12,21,4,False
2020-04-19,23,2,False
2020-04-26,22,2,False
