geoName,geoCode,mariage civil ,mariage symbolique ,mariage laique,mariage religieux 
Alsace,FR-A,74,0,16,10
Aquitaine,FR-B,75,0,18,7
Auvergne,FR-C,100,0,0,0
Brittany,FR-E,67,0,29,4
Burgundy,FR-D,56,0,44,0
Centre-Val de Loire,FR-F,58,0,21,21
Champagne-Ardenne,FR-G,100,0,0,0
Corsica,FR-H,0,0,0,0
Franche-Comté,FR-I,100,0,0,0
Languedoc-Roussillon,FR-K,79,0,21,0
Limousin,FR-L,100,0,0,0
Lorraine,FR-M,76,0,12,12
Lower Normandy,FR-P,0,0,0,0
Midi-Pyrénées,FR-N,55,0,31,14
Nord-Pas-de-Calais,FR-O,70,0,15,15
Pays de la Loire,FR-R,60,0,17,23
Picardy,FR-S,80,0,20,0
Poitou-Charentes,FR-T,68,0,32,0
Provence-Alpes-Côte d'Azur,FR-U,60,0,25,15
Rhone-Alpes,FR-V,75,0,10,15
Upper Normandy,FR-Q,53,0,47,0
Île-de-France,FR-J,72,0,10,18
