date,mariage civil ,mariage symbolique ,mariage laique,mariage religieux ,isPartial
2018-01-07,50,0,0,25,False
2018-01-14,50,0,0,25,False
2018-01-21,0,0,25,0,False
2018-01-28,25,0,0,0,False
2018-02-04,25,0,0,25,False
2018-02-11,76,0,0,0,False
2018-02-18,51,0,0,26,False
2018-02-25,25,0,0,0,False
2018-03-04,50,0,0,25,False
2018-03-11,73,0,24,0,False
2018-03-18,86,0,25,74,False
2018-03-25,37,0,24,24,False
2018-04-01,25,0,50,25,False
2018-04-08,74,0,25,0,False
2018-04-15,53,0,0,26,False
2018-04-22,0,0,0,26,False
2018-04-29,40,0,26,26,False
2018-05-06,0,0,53,0,False
2018-05-13,100,0,25,25,False
2018-05-20,0,0,0,26,False
2018-05-27,0,0,24,24,False
2018-06-03,25,0,0,0,False
2018-06-10,60,0,0,0,False
2018-06-17,75,0,0,25,False
2018-06-24,50,0,0,51,False
2018-07-01,38,0,0,0,False
2018-07-08,26,0,26,0,False
2018-07-15,0,0,28,0,False
2018-07-22,71,0,28,28,False
2018-07-29,0,0,28,0,False
2018-08-05,0,0,0,0,False
2018-08-12,0,0,30,30,False
2018-08-19,29,0,0,0,False
2018-08-26,40,0,27,27,False
2018-09-02,39,0,65,0,False
2018-09-09,38,0,25,25,False
2018-09-16,25,0,25,25,False
2018-09-23,25,0,0,0,False
2018-09-30,0,0,51,0,False
2018-10-07,25,0,0,0,False
2018-10-14,26,0,26,0,False
2018-10-21,26,0,0,26,False
2018-10-28,0,0,51,0,False
2018-11-04,48,0,72,0,False
2018-11-11,49,0,0,0,False
2018-11-18,24,0,49,0,False
2018-11-25,0,0,0,0,False
2018-12-02,24,0,0,0,False
2018-12-09,25,0,0,0,False
2018-12-16,0,0,0,0,False
2018-12-23,43,0,0,0,False
2018-12-30,28,0,0,28,False
2019-01-06,74,0,0,25,False
2019-01-13,72,0,0,24,False
2019-01-20,46,0,0,23,False
2019-01-27,23,0,23,0,False
2019-02-03,24,0,0,24,False
2019-02-10,51,0,25,0,False
2019-02-17,26,0,26,0,False
2019-02-24,48,0,24,24,False
2019-03-03,59,0,0,0,False
2019-03-10,24,0,0,24,False
2019-03-17,25,0,0,25,False
2019-03-24,25,0,0,0,False
2019-03-31,48,0,0,0,False
2019-04-07,0,0,23,0,False
2019-04-14,26,0,0,26,False
2019-04-21,24,0,24,0,False
2019-04-28,42,0,0,0,False
2019-05-05,52,0,41,21,False
2019-05-12,64,0,21,43,False
2019-05-19,22,0,22,22,False
2019-05-26,22,0,22,22,False
2019-06-02,41,0,0,41,False
2019-06-09,22,0,22,22,False
2019-06-16,35,0,0,0,False
2019-06-23,23,0,23,23,False
2019-06-30,44,0,33,33,False
2019-07-07,23,0,0,0,False
2019-07-14,69,0,46,23,False
2019-07-21,24,0,24,24,False
2019-07-28,0,0,24,0,False
2019-08-04,52,0,26,26,False
2019-08-11,27,0,0,0,False
2019-08-18,0,0,28,0,False
2019-08-25,49,0,49,25,False
2019-09-01,23,0,0,23,False
2019-09-08,61,0,0,0,False
2019-09-15,24,0,24,24,False
2019-09-22,21,0,43,21,False
2019-09-29,70,0,40,20,False
2019-10-06,60,0,0,30,False
2019-10-13,20,0,20,20,False
2019-10-20,20,0,20,20,False
2019-10-27,41,0,20,20,False
2019-11-03,20,0,0,39,False
2019-11-10,0,0,20,0,False
2019-11-17,19,0,0,19,False
2019-11-24,19,0,19,19,False
2019-12-01,31,0,0,0,False
2019-12-08,33,0,0,0,False
2019-12-15,22,0,44,22,False
2019-12-22,24,0,0,0,False
2019-12-29,34,0,0,0,False
2020-01-05,20,0,40,0,False
2020-01-12,38,0,0,0,False
2020-01-19,58,0,19,19,False
2020-01-26,47,0,0,0,False
2020-02-02,29,0,19,19,False
2020-02-09,38,0,0,19,False
2020-02-16,39,0,20,20,False
2020-02-23,0,0,0,0,False
2020-03-01,39,0,19,19,False
2020-03-08,18,0,36,18,False
2020-03-15,17,0,0,17,False
2020-03-22,17,0,17,17,False
2020-03-29,34,0,0,0,False
2020-04-05,34,0,0,17,False
2020-04-12,0,0,0,17,False
2020-04-19,35,0,17,0,False
2020-04-26,24,0,16,16,False
2020-05-03,0,0,0,0,True
