date,mariage civil ,mariage symbolique ,mariage laique,mariage religieux 
2018-01-07,0.58,0.0,0.096,0.0
2018-01-14,0.092,0.0,0.0,0.096
2018-01-21,0.288,0.0,0.192,0.0
2018-01-28,0.44,0.0,0.0,0.0
2018-02-04,0.244,0.0,0.0,0.0
2018-02-11,0.84,0.0,0.348,0.0
2018-02-18,0.3,0.0,0.1,0.1
2018-02-25,0.192,0.0,0.096,0.096
2018-03-04,0.424,0.0,0.096,0.096
2018-03-11,0.38,0.0,0.34,0.0
2018-03-18,0.148,0.0,0.096,0.096
2018-03-25,0.576,0.0,0.096,0.0
2018-04-01,0.6,0.0,0.352,0.0
2018-04-08,0.1,0.0,0.1,0.0
2018-04-15,0.212,0.0,0.0,0.0
2018-04-22,0.096,0.0,0.192,0.0
2018-04-29,0.44,0.0,0.0,0.0
2018-05-06,0.188,0.0,0.188,0.0
2018-05-13,0.0,0.0,0.0,0.148
2018-05-20,0.196,0.0,0.0,0.0
2018-05-27,0.284,0.0,0.0,0.0
2018-06-03,0.628,0.0,0.0,0.0
2018-06-10,0.0,0.0,0.088,0.0
2018-06-17,0.0,0.0,0.288,0.0
2018-06-24,0.096,0.0,0.288,0.096
2018-07-01,0.356,0.0,0.136,0.0
2018-07-08,0.632,0.0,0.0,0.092
2018-07-15,0.188,0.0,0.092,0.0
2018-07-22,0.372,0.0,0.092,0.092
2018-07-29,0.092,0.0,0.092,0.0
2018-08-05,0.088,0.0,0.088,0.088
2018-08-12,1.0,0.0,0.0,0.0
2018-08-19,0.136,0.0,0.0,0.092
2018-08-26,0.356,0.0,0.356,0.092
2018-09-02,0.188,0.0,0.092,0.0
2018-09-09,0.092,0.0,0.0,0.096
2018-09-16,0.144,0.0,0.192,0.0
2018-09-23,0.196,0.0,0.0,0.196
2018-09-30,0.388,0.0,0.0,0.0
2018-10-07,0.1,0.0,0.28,0.0
2018-10-14,0.388,0.0,0.488,0.0
2018-10-21,0.204,0.0,0.0,0.0
2018-10-28,0.096,0.0,0.096,0.096
2018-11-04,0.184,0.0,0.188,0.184
2018-11-11,0.096,0.0,0.096,0.0
2018-11-18,0.632,0.0,0.0,0.0
2018-11-25,0.464,0.0,0.096,0.0
2018-12-02,0.192,0.0,0.0,0.096
2018-12-09,0.096,0.0,0.0,0.0
2018-12-16,0.48,0.0,0.1,0.0
2018-12-23,0.0,0.0,0.304,0.108
2018-12-30,0.292,0.0,0.208,0.0
2019-01-06,0.0,0.0,0.0,0.096
2019-01-13,0.144,0.0,0.096,0.0
2019-01-20,0.62,0.0,0.264,0.188
2019-01-27,0.092,0.0,0.0,0.0
2019-02-03,0.144,0.0,0.0,0.0
2019-02-10,0.104,0.0,0.0,0.104
2019-02-17,0.104,0.0,0.288,0.0
2019-02-24,0.396,0.0,0.0,0.0
2019-03-03,0.412,0.0,0.096,0.096
2019-03-10,0.096,0.0,0.0,0.096
2019-03-17,0.2,0.0,0.38,0.0
2019-03-24,0.284,0.0,0.096,0.0
