date,boda civil,boda religiosa,isPartial
2018-01-07,40,11,False
2018-01-14,59,0,False
2018-01-21,41,0,False
2018-01-28,68,23,False
2018-02-04,58,12,False
2018-02-11,66,12,False
2018-02-18,54,0,False
2018-02-25,39,0,False
2018-03-04,33,11,False
2018-03-11,11,22,False
2018-03-18,41,0,False
2018-03-25,19,0,False
2018-04-01,74,0,False
2018-04-08,100,11,False
2018-04-15,48,12,False
2018-04-22,69,11,False
2018-04-29,71,12,False
2018-05-06,75,17,False
2018-05-13,36,12,False
2018-05-20,47,24,False
2018-05-27,48,12,False
2018-06-03,81,12,False
2018-06-10,51,0,False
2018-06-17,43,12,False
2018-06-24,54,0,False
2018-07-01,42,12,False
2018-07-08,41,12,False
2018-07-15,37,24,False
2018-07-22,36,12,False
2018-07-29,53,0,False
2018-08-05,23,11,False
2018-08-12,23,23,False
2018-08-19,47,0,False
2018-08-26,92,23,False
2018-09-02,40,0,False
2018-09-09,45,11,False
2018-09-16,35,12,False
2018-09-23,40,11,False
2018-09-30,87,0,False
2018-10-07,58,12,False
2018-10-14,55,0,False
2018-10-21,46,11,False
2018-10-28,29,12,False
2018-11-04,33,0,False
2018-11-11,80,0,False
2018-11-18,37,0,False
2018-11-25,11,0,False
2018-12-02,43,0,False
2018-12-09,24,0,False
2018-12-16,25,0,False
2018-12-23,41,0,False
2018-12-30,39,0,False
2019-01-06,24,0,False
2019-01-13,39,0,False
2019-01-20,43,0,False
2019-01-27,49,22,False
2019-02-03,47,0,False
2019-02-10,51,0,False
2019-02-17,63,0,False
2019-02-24,49,12,False
2019-03-03,35,0,False
2019-03-10,36,0,False
2019-03-17,29,0,False
2019-03-24,80,0,False
2019-03-31,39,22,False
2019-04-07,63,0,False
2019-04-14,50,11,False
2019-04-21,38,0,False
2019-04-28,29,0,False
2019-05-05,35,12,False
2019-05-12,65,18,False
2019-05-19,40,12,False
2019-05-26,34,0,False
2019-06-02,39,11,False
2019-06-09,39,11,False
2019-06-16,81,12,False
2019-06-23,23,12,False
2019-06-30,35,17,False
2019-07-07,40,11,False
2019-07-14,70,23,False
2019-07-21,58,0,False
2019-07-28,30,0,False
2019-08-04,46,0,False
2019-08-11,28,22,False
2019-08-18,38,0,False
2019-08-25,38,11,False
2019-09-01,27,0,False
2019-09-08,53,11,False
2019-09-15,32,11,False
2019-09-22,21,21,False
2019-09-29,71,0,False
2019-10-06,21,11,False
2019-10-13,53,11,False
2019-10-20,32,0,False
2019-10-27,31,0,False
2019-11-03,41,0,False
2019-11-10,41,21,False
2019-11-17,45,15,False
2019-11-24,30,0,False
2019-12-01,42,0,False
2019-12-08,22,11,False
2019-12-15,20,0,False
2019-12-22,39,0,False
2019-12-29,45,0,False
2020-01-05,37,0,False
2020-01-12,48,0,False
2020-01-19,37,9,False
2020-01-26,45,10,False
2020-02-02,40,10,False
2020-02-09,45,10,False
2020-02-16,24,0,False
2020-02-23,30,0,False
2020-03-01,24,14,False
2020-03-08,14,0,False
2020-03-15,9,9,False
2020-03-22,12,0,False
2020-03-29,8,0,False
2020-04-05,22,0,False
2020-04-12,25,0,False
2020-04-19,24,0,False
2020-04-26,13,0,False
