date,standesamtliche Hochzeit,Heiraten kirchlich,isPartial
2018-01-07,59,49,False
2018-01-14,61,37,False
2018-01-21,52,35,False
2018-01-28,69,28,False
2018-02-04,82,32,False
2018-02-11,25,18,False
2018-02-18,39,43,False
2018-02-25,70,32,False
2018-03-04,46,25,False
2018-03-11,46,21,False
2018-03-18,32,35,False
2018-03-25,41,15,False
2018-04-01,49,64,False
2018-04-08,36,14,False
2018-04-15,22,22,False
2018-04-22,54,32,False
2018-04-29,100,37,False
2018-05-06,59,19,False
2018-05-13,85,28,False
2018-05-20,56,45,False
2018-05-27,73,11,False
2018-06-03,54,40,False
2018-06-10,55,45,False
2018-06-17,59,10,False
2018-06-24,36,18,False
2018-07-01,35,28,False
2018-07-08,81,32,False
2018-07-15,51,18,False
2018-07-22,33,25,False
2018-07-29,51,18,False
2018-08-05,58,40,False
2018-08-12,59,33,False
2018-08-19,58,26,False
2018-08-26,47,11,False
2018-09-02,64,36,False
2018-09-09,39,21,False
2018-09-16,39,32,False
2018-09-23,36,50,False
2018-09-30,50,36,False
2018-10-07,97,25,False
2018-10-14,53,35,False
2018-10-21,28,21,False
2018-10-28,53,35,False
2018-11-04,57,44,False
2018-11-11,55,38,False
2018-11-18,20,20,False
2018-11-25,48,31,False
2018-12-02,44,31,False
2018-12-09,59,14,False
2018-12-16,39,25,False
2018-12-23,36,32,False
2018-12-30,48,37,False
2019-01-06,46,39,False
2019-01-13,64,35,False
2019-01-20,42,26,False
2019-01-27,32,35,False
2019-02-03,30,20,False
2019-02-10,43,27,False
2019-02-17,40,27,False
2019-02-24,34,17,False
2019-03-03,36,23,False
2019-03-10,49,23,False
2019-03-17,41,14,False
2019-03-24,41,27,False
2019-03-31,58,37,False
2019-04-07,30,37,False
2019-04-14,18,7,False
2019-04-21,68,28,False
2019-04-28,60,36,False
2019-05-05,46,59,False
2019-05-12,64,7,False
2019-05-19,50,43,False
2019-05-26,41,20,False
2019-06-02,33,33,False
2019-06-09,41,17,False
2019-06-16,83,24,False
2019-06-23,52,21,False
2019-06-30,44,7,False
2019-07-07,27,27,False
2019-07-14,45,28,False
2019-07-21,47,29,False
2019-07-28,64,57,False
2019-08-04,68,29,False
2019-08-11,45,31,False
2019-08-18,97,38,False
2019-08-25,55,44,False
2019-09-01,69,16,False
2019-09-08,44,37,False
2019-09-15,47,20,False
2019-09-22,65,36,False
2019-09-29,36,26,False
2019-10-06,59,23,False
2019-10-13,45,36,False
2019-10-20,42,26,False
2019-10-27,47,13,False
2019-11-03,49,25,False
2019-11-10,47,25,False
2019-11-17,40,25,False
2019-11-24,24,34,False
2019-12-01,28,19,False
2019-12-08,50,28,False
2019-12-15,48,16,False
2019-12-22,36,22,False
2019-12-29,64,37,False
2020-01-05,66,21,False
2020-01-12,55,32,False
2020-01-19,42,30,False
2020-01-26,41,32,False
2020-02-02,36,24,False
2020-02-09,26,14,False
2020-02-16,46,24,False
2020-02-23,38,15,False
2020-03-01,49,26,False
2020-03-08,47,25,False
2020-03-15,30,19,False
2020-03-22,27,11,False
2020-03-29,19,11,False
2020-04-05,32,21,False
2020-04-12,25,22,False
2020-04-19,24,27,False
2020-04-26,48,21,False
2020-05-03,0,40,True
