geoName,geoCode,boda civil,boda religiosa
Andalusia,ES-AN,93,7
Aragon,ES-AR,71,29
Asturias,ES-AS,67,33
Balearic Islands,ES-IB,100,0
Basque Country,ES-PV,83,17
Canary Islands,ES-CN,100,0
Cantabria,ES-CB,100,0
Castile and León,ES-CL,85,15
Castile-La Mancha,ES-CM,84,16
Catalonia,ES-CT,92,8
Ceuta,ES-CE,0,0
Community of Madrid,ES-MD,89,11
Extremadura,ES-EX,100,0
Galicia,ES-GA,86,14
La Rioja,ES-RI,100,0
Melilla,ES-ML,0,0
Navarre,ES-NC,100,0
Region of Murcia,ES-MC,100,0
Valencian Community,ES-VC,90,10
