date,standesamtliche Hochzeit,Heiraten kirchlich,isPartial
2018-01-07,33,25,False
2018-01-14,33,33,False
2018-01-21,33,16,False
2018-01-28,41,16,False
2018-02-04,42,17,False
2018-02-11,17,0,False
2018-02-18,52,17,False
2018-02-25,17,17,False
2018-03-04,51,0,False
2018-03-11,51,26,False
2018-03-18,17,35,False
2018-03-25,18,0,False
2018-04-01,0,28,False
2018-04-08,53,18,False
2018-04-15,36,36,False
2018-04-22,17,26,False
2018-04-29,27,0,False
2018-05-06,18,0,False
2018-05-13,34,0,False
2018-05-20,45,18,False
2018-05-27,18,18,False
2018-06-03,43,51,False
2018-06-10,0,0,False
2018-06-17,16,25,False
2018-06-24,25,17,False
2018-07-01,40,16,False
2018-07-08,33,0,False
2018-07-15,25,17,False
2018-07-22,50,33,False
2018-07-29,34,17,False
2018-08-05,18,35,False
2018-08-12,64,37,False
2018-08-19,28,18,False
2018-08-26,46,27,False
2018-09-02,27,0,False
2018-09-09,26,0,False
2018-09-16,17,17,False
2018-09-23,60,17,False
2018-09-30,43,17,False
2018-10-07,17,34,False
2018-10-14,42,17,False
2018-10-21,0,0,False
2018-10-28,25,17,False
2018-11-04,41,16,False
2018-11-11,33,0,False
2018-11-18,0,16,False
2018-11-25,24,16,False
2018-12-02,49,0,False
2018-12-09,24,16,False
2018-12-16,34,17,False
2018-12-23,20,20,False
2018-12-30,89,27,False
2019-01-06,16,31,False
2019-01-13,39,23,False
2019-01-20,23,31,False
2019-01-27,16,16,False
2019-02-03,15,15,False
2019-02-10,48,16,False
2019-02-17,24,16,False
2019-02-24,16,0,False
2019-03-03,16,16,False
2019-03-10,0,0,False
2019-03-17,25,17,False
2019-03-24,17,0,False
2019-03-31,17,17,False
2019-04-07,41,24,False
2019-04-14,18,18,False
2019-04-21,17,17,False
2019-04-28,65,16,False
2019-05-05,31,16,False
2019-05-12,31,24,False
2019-05-19,16,16,False
2019-05-26,32,32,False
2019-06-02,16,16,False
2019-06-09,34,17,False
2019-06-16,68,17,False
2019-06-23,33,33,False
2019-06-30,48,16,False
2019-07-07,61,15,False
2019-07-14,32,32,False
2019-07-21,34,17,False
2019-07-28,49,16,False
2019-08-04,34,51,False
2019-08-11,26,0,False
2019-08-18,70,0,False
2019-08-25,35,17,False
2019-09-01,24,16,False
2019-09-08,81,16,False
2019-09-15,82,16,False
2019-09-22,47,15,False
2019-09-29,31,16,False
2019-10-06,39,23,False
2019-10-13,31,31,False
2019-10-20,30,15,False
2019-10-27,15,15,False
2019-11-03,45,22,False
2019-11-10,15,0,False
2019-11-17,23,15,False
2019-11-24,15,15,False
2019-12-01,15,15,False
2019-12-08,76,0,False
2019-12-15,0,31,False
2019-12-22,18,18,False
2019-12-29,49,33,False
2020-01-05,29,15,False
2020-01-12,50,28,False
2020-01-19,36,14,False
2020-01-26,29,15,False
2020-02-02,14,14,False
2020-02-09,28,14,False
2020-02-16,15,0,False
2020-02-23,29,15,False
2020-03-01,42,14,False
2020-03-08,54,0,False
2020-03-15,38,13,False
2020-03-22,26,0,False
2020-03-29,26,0,False
2020-04-05,0,14,False
2020-04-12,41,14,False
2020-04-19,33,0,False
2020-04-26,26,13,False
2020-05-03,0,100,True
