date,standesamtliche Hochzeit,Heiraten kirchlich,isPartial
2018-01-07,69,26,False
2018-01-14,34,17,False
2018-01-21,52,35,False
2018-01-28,17,17,False
2018-02-04,18,18,False
2018-02-11,54,18,False
2018-02-18,44,70,False
2018-02-25,43,26,False
2018-03-04,26,18,False
2018-03-11,17,17,False
2018-03-18,26,35,False
2018-03-25,56,37,False
2018-04-01,56,65,False
2018-04-08,18,26,False
2018-04-15,18,45,False
2018-04-22,34,43,False
2018-04-29,18,27,False
2018-05-06,28,18,False
2018-05-13,44,35,False
2018-05-20,28,37,False
2018-05-27,52,35,False
2018-06-03,18,18,False
2018-06-10,51,51,False
2018-06-17,43,34,False
2018-06-24,44,18,False
2018-07-01,17,0,False
2018-07-08,59,34,False
2018-07-15,45,36,False
2018-07-22,27,18,False
2018-07-29,37,28,False
2018-08-05,28,0,False
2018-08-12,46,0,False
2018-08-19,18,27,False
2018-08-26,72,0,False
2018-09-02,35,35,False
2018-09-09,18,0,False
2018-09-16,71,70,False
2018-09-23,27,18,False
2018-09-30,45,27,False
2018-10-07,0,44,False
2018-10-14,0,72,False
2018-10-21,36,27,False
2018-10-28,61,26,False
2018-11-04,25,34,False
2018-11-11,34,51,False
2018-11-18,33,0,False
2018-11-25,17,34,False
2018-12-02,34,34,False
2018-12-09,51,51,False
2018-12-16,43,34,False
2018-12-23,20,40,False
2018-12-30,27,27,False
2019-01-06,57,32,False
2019-01-13,16,32,False
2019-01-20,32,32,False
2019-01-27,40,48,False
2019-02-03,49,0,False
2019-02-10,33,25,False
2019-02-17,58,50,False
2019-02-24,26,35,False
2019-03-03,25,16,False
2019-03-10,72,32,False
2019-03-17,43,34,False
2019-03-24,51,34,False
2019-03-31,41,16,False
2019-04-07,51,34,False
2019-04-14,18,27,False
2019-04-21,53,18,False
2019-04-28,34,42,False
2019-05-05,57,25,False
2019-05-12,42,25,False
2019-05-19,66,49,False
2019-05-26,34,34,False
2019-06-02,16,17,False
2019-06-09,17,34,False
2019-06-16,51,34,False
2019-06-23,42,42,False
2019-06-30,34,17,False
2019-07-07,17,0,False
2019-07-14,17,0,False
2019-07-21,38,48,False
2019-07-28,28,18,False
2019-08-04,92,37,False
2019-08-11,35,62,False
2019-08-18,70,26,False
2019-08-25,50,25,False
2019-09-01,58,33,False
2019-09-08,33,25,False
2019-09-15,34,34,False
2019-09-22,33,16,False
2019-09-29,16,33,False
2019-10-06,40,48,False
2019-10-13,41,16,False
2019-10-20,33,17,False
2019-10-27,48,16,False
2019-11-03,38,0,False
2019-11-10,54,31,False
2019-11-17,23,15,False
2019-11-24,45,15,False
2019-12-01,23,16,False
2019-12-08,23,31,False
2019-12-15,31,31,False
2019-12-22,18,18,False
2019-12-29,67,59,False
2020-01-05,30,23,False
2020-01-12,29,14,False
2020-01-19,52,45,False
2020-01-26,29,44,False
2020-02-02,22,22,False
2020-02-09,0,29,False
2020-02-16,45,0,False
2020-02-23,28,35,False
2020-03-01,43,0,False
2020-03-08,54,14,False
2020-03-15,14,13,False
2020-03-22,13,13,False
2020-03-29,13,13,False
2020-04-05,14,14,False
2020-04-12,14,28,False
2020-04-19,20,13,False
2020-04-26,20,13,False
2020-05-03,0,100,True
