geoName,geoCode,matrimonio simbolico,matrimonio in chiesa,matrimonio civile
Abruzzo,IT-65,0,0,100
Aosta,IT-23,0,0,0
Apulia,IT-75,0,29,71
Basilicata,IT-77,0,0,100
Calabria,IT-78,0,32,68
Campania,IT-72,0,21,79
Emilia-Romagna,IT-45,0,20,80
Friuli-Venezia Giulia,IT-36,0,0,100
Lazio,IT-62,0,11,89
Liguria,IT-42,0,0,100
Lombardy,IT-25,2,13,85
Marche,IT-57,0,0,100
Molise,IT-67,0,0,0
Piedmont,IT-21,0,16,84
Sardinia,IT-88,0,0,100
Sicily,IT-82,0,19,81
Trentino-Alto Adige/South Tyrol,IT-32,0,0,100
Tuscany,IT-52,0,17,83
Umbria,IT-55,0,0,100
Veneto,IT-34,0,22,78
