geoName,geoCode,Treppenrenovierung
Baden-Württemberg,DE-BW,22
Bavaria,DE-BY,12
Berlin,DE-BE,13
Brandenburg,DE-BB,0
Bremen,DE-HB,94
Hamburg,DE-HH,0
Hesse,DE-HE,21
Lower Saxony,DE-NI,22
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,28
Rhineland-Palatinate,DE-RP,17
Saarland,DE-SL,0
Saxony,DE-SN,71
Saxony-Anhalt,DE-ST,67
Schleswig-Holstein,DE-SH,0
Thuringia,DE-TH,100
