date,personal trainer,isPartial
2018-01-07,71,False
2018-01-14,33,False
2018-01-21,63,False
2018-01-28,54,False
2018-02-04,59,False
2018-02-11,56,False
2018-02-18,61,False
2018-02-25,58,False
2018-03-04,64,False
2018-03-11,54,False
2018-03-18,49,False
2018-03-25,52,False
2018-04-01,59,False
2018-04-08,42,False
2018-04-15,66,False
2018-04-22,56,False
2018-04-29,77,False
2018-05-06,56,False
2018-05-13,61,False
2018-05-20,46,False
2018-05-27,40,False
2018-06-03,31,False
2018-06-10,59,False
2018-06-17,48,False
2018-06-24,65,False
2018-07-01,45,False
2018-07-08,80,False
2018-07-15,43,False
2018-07-22,72,False
2018-07-29,61,False
2018-08-05,46,False
2018-08-12,65,False
2018-08-19,68,False
2018-08-26,71,False
2018-09-02,84,False
2018-09-09,62,False
2018-09-16,64,False
2018-09-23,71,False
2018-09-30,56,False
2018-10-07,80,False
2018-10-14,68,False
2018-10-21,43,False
2018-10-28,36,False
2018-11-04,51,False
2018-11-11,58,False
2018-11-18,38,False
2018-11-25,66,False
2018-12-02,34,False
2018-12-09,49,False
2018-12-16,47,False
2018-12-23,41,False
2018-12-30,64,False
2019-01-06,52,False
2019-01-13,47,False
2019-01-20,84,False
2019-01-27,68,False
2019-02-03,90,False
2019-02-10,69,False
2019-02-17,96,False
2019-02-24,65,False
2019-03-03,64,False
2019-03-10,63,False
2019-03-17,65,False
2019-03-24,100,False
2019-03-31,41,False
2019-04-07,57,False
2019-04-14,49,False
2019-04-21,66,False
2019-04-28,53,False
2019-05-05,77,False
2019-05-12,81,False
2019-05-19,67,False
2019-05-26,71,False
2019-06-02,70,False
2019-06-09,69,False
2019-06-16,58,False
2019-06-23,70,False
2019-06-30,43,False
2019-07-07,68,False
2019-07-14,74,False
2019-07-21,76,False
2019-07-28,65,False
2019-08-04,40,False
2019-08-11,83,False
2019-08-18,66,False
2019-08-25,58,False
2019-09-01,77,False
2019-09-08,65,False
2019-09-15,95,False
2019-09-22,69,False
2019-09-29,61,False
2019-10-06,61,False
2019-10-13,74,False
2019-10-20,84,False
2019-10-27,55,False
2019-11-03,66,False
2019-11-10,61,False
2019-11-17,59,False
2019-11-24,44,False
2019-12-01,44,False
2019-12-08,42,False
2019-12-15,45,False
2019-12-22,59,False
2019-12-29,74,False
2020-01-05,34,False
2020-01-12,64,False
2020-01-19,40,False
2020-01-26,57,False
2020-02-02,64,False
2020-02-09,53,False
2020-02-16,55,False
2020-02-23,63,False
2020-03-01,54,False
2020-03-08,38,False
2020-03-15,64,False
2020-03-22,78,False
2020-03-29,67,False
2020-04-05,89,False
2020-04-12,69,False
2020-04-19,84,False
2020-04-26,76,False
2020-05-03,61,False
2020-05-10,34,False
2020-05-17,61,True
