date,la psychologie,isPartial
2018-01-07,66,False
2018-01-14,77,False
2018-01-21,65,False
2018-01-28,78,False
2018-02-04,70,False
2018-02-11,76,False
2018-02-18,70,False
2018-02-25,62,False
2018-03-04,84,False
2018-03-11,57,False
2018-03-18,69,False
2018-03-25,80,False
2018-04-01,71,False
2018-04-08,46,False
2018-04-15,54,False
2018-04-22,62,False
2018-04-29,73,False
2018-05-06,94,False
2018-05-13,54,False
2018-05-20,78,False
2018-05-27,84,False
2018-06-03,67,False
2018-06-10,73,False
2018-06-17,49,False
2018-06-24,41,False
2018-07-01,43,False
2018-07-08,60,False
2018-07-15,34,False
2018-07-22,52,False
2018-07-29,36,False
2018-08-05,49,False
2018-08-12,49,False
2018-08-19,50,False
2018-08-26,50,False
2018-09-02,79,False
2018-09-09,66,False
2018-09-16,70,False
2018-09-23,74,False
2018-09-30,57,False
2018-10-07,60,False
2018-10-14,100,False
2018-10-21,69,False
2018-10-28,94,False
2018-11-04,73,False
2018-11-11,96,False
2018-11-18,95,False
2018-11-25,83,False
2018-12-02,81,False
2018-12-09,89,False
2018-12-16,82,False
2018-12-23,67,False
2018-12-30,65,False
2019-01-06,82,False
2019-01-13,64,False
2019-01-20,85,False
2019-01-27,73,False
2019-02-03,65,False
2019-02-10,67,False
2019-02-17,60,False
2019-02-24,60,False
2019-03-03,68,False
2019-03-10,80,False
2019-03-17,62,False
2019-03-24,64,False
2019-03-31,75,False
2019-04-07,72,False
2019-04-14,65,False
2019-04-21,41,False
2019-04-28,64,False
2019-05-05,57,False
2019-05-12,72,False
2019-05-19,58,False
2019-05-26,62,False
2019-06-02,45,False
2019-06-09,41,False
2019-06-16,50,False
2019-06-23,45,False
2019-06-30,58,False
2019-07-07,51,False
2019-07-14,40,False
2019-07-21,43,False
2019-07-28,34,False
2019-08-04,51,False
2019-08-11,62,False
2019-08-18,44,False
2019-08-25,59,False
2019-09-01,56,False
2019-09-08,74,False
2019-09-15,70,False
2019-09-22,71,False
2019-09-29,71,False
2019-10-06,73,False
2019-10-13,79,False
2019-10-20,71,False
2019-10-27,65,False
2019-11-03,68,False
2019-11-10,69,False
2019-11-17,84,False
2019-11-24,66,False
2019-12-01,67,False
2019-12-08,78,False
2019-12-15,72,False
2019-12-22,51,False
2019-12-29,71,False
2020-01-05,61,False
2020-01-12,65,False
2020-01-19,53,False
2020-01-26,74,False
2020-02-02,57,False
2020-02-09,50,False
2020-02-16,67,False
2020-02-23,54,False
2020-03-01,74,False
2020-03-08,52,False
2020-03-15,44,False
2020-03-22,48,False
2020-03-29,89,False
2020-04-05,80,False
2020-04-12,77,False
2020-04-19,81,False
2020-04-26,77,False
2020-05-03,76,False
2020-05-10,64,False
2020-05-17,65,True
